id_product;active;Name;"Categories (x,y,z...)";"Price tax excluded or Price tax included";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;"Minimal quantity";Visibility;"Additional shipping cost";Unity;"Unit price";"Short description";Description;"Tags (x,y,z...)";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";image_url;image_url2;"Delete existing images (0 = No, 1 = Yes)";"Feature (Name:Value:Position)";"Available online only (0 = No, 1 = Yes)";Cond;"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Out of stock";ID;"Action when out of stock";"Depends on stock";Warehouse
13;1;"JABON LIQUIDO BRIX ON AMARILLO 600ML";Home;94.160000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;jabon-liquido-brix-on-amarillo-600ml;;;1;;"2023-10-31 14:59:08";1;https://inversionesrpz.com/img/p/1/1/2/3/1123.jpg;https://inversionesrpz.com/img/p/1/1/4/3/1143.jpg;0;;0;new;0;0;0;2;1;;;
14;1;"JABON LIQUIDO BRIX ON AZUL 600ML";Home;94.160000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;jabon-liquido-brix-on-azul-600ml;;;1;;"2023-10-31 14:59:08";1;https://inversionesrpz.com/img/p/1/1/2/4/1124.jpg;https://inversionesrpz.com/img/p/1/1/4/4/1144.jpg;0;;0;new;0;0;0;2;1;;;
15;1;"JABON LUX BOT JAZMIN 125GR";Home;37.830000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;jabon-lux-bot-jazmin-125gr;;;1;;"2023-10-31 14:59:08";1;https://inversionesrpz.com/img/p/1/1/2/5/1125.jpg;https://inversionesrpz.com/img/p/1/1/4/5/1145.jpg;0;;0;new;0;0;0;2;1;;;
16;1;"JABON LUX BOT ORQ. NEGRA 125GR";Home;37.830000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;jabon-lux-bot-orq-negra-125gr;;;1;;"2023-10-31 14:59:08";1;https://inversionesrpz.com/img/p/1/1/2/6/1126.jpg;https://inversionesrpz.com/img/p/1/1/4/6/1146.jpg;0;;0;new;0;0;0;2;1;;;
17;1;"JABON LUX BOT ROSAS FRANC 125G";Home;37.830000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;10000;1;both;0.000000;;0.000000;;;;;;;jabon-lux-bot-rosas-franc-125g;;;1;;"2023-10-31 14:59:08";1;https://inversionesrpz.com/img/p/1/1/2/7/1127.jpg;https://inversionesrpz.com/img/p/1/1/4/7/1147.jpg;0;;0;new;0;0;0;2;1;;;
18;0;"Caraotas negras, presentacion 1Kg.";Alimentos,Granos,Home,Víveres;0.000000;0;0.000000;0;;;;;AG0011;;;;;;0.000000;0.000000;0.000000;0.000000;1.000000;1000;1;both;0.000000;;0.000000;;;;;;;caraotas-negras-presentacion-1kg;;;1;;"2022-11-02 15:11:39";1;https://inversionesrpz.com/img/p/1/8/18.jpg;;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
19;0;"Harina de trigo leudante, presentacion 1Kg.g";Víveres;0.000000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;1.000000;1000;1;both;0.000000;;0.000000;;;;;;;harina-de-trigo-leudante-presentacion-1kgg;;;1;;"2022-11-02 15:11:39";1;https://inversionesrpz.com/img/p/1/9/19.jpg;;0;Presentación:Solido:0;0;new;0;0;0;2;1;;;
20;1;"Harina de trigo leudante, presentacion 1Kg.g";Víveres;52.640000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;1.000000;1000;1;both;0.000000;;0.000000;;;;;;;harina-de-trigo-leudante-presentacion-1kgg;;;1;;"2022-11-02 15:11:39";1;https://inversionesrpz.com/img/p/2/0/20.jpg;;0;Presentación:Polvo:0;0;new;0;0;0;2;1;;;
21;0;"Leche en polvo sin gluten, presentacion 200g";"Alimentos,Home,Lacteos,Leche en Polvo,Víveres";0.000000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.200000;1000;1;both;0.000000;;0.000000;;;;;;;leche-en-polvo-sin-gluten-presentacion-200g;;;1;;"2022-11-02 15:11:39";1;https://inversionesrpz.com/img/p/2/1/21.jpg;;0;Presentación:Polvo:0;0;new;0;0;0;2;1;;;
22;0;"Leche en polvo completa, presentacion 1Kg.g";Víveres;0.000000;0;0.000000;0;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;1.000000;1000;1;both;0.000000;;0.000000;;;;;;;leche-en-polvo-completa-presentacion-1kgg;;;1;;"2022-11-02 15:11:42";1;https://inversionesrpz.com/img/p/2/2/22.jpg;;0;Presentación:Polvo:0;0;new;0;0;0;2;1;;;
