"Product ID";"Nombre";"Referencia";"Precio (imp. excl.)";"Cantidad";"Estado"
"512";"Cash on Delivery Fee";"COD";"0";"100";"0"
"511";"Dr. Prueba";"";"0";"999999999";"0"
"510";"Dr. Prueba";"";"0";"999999999";"0"
"509";"test";"";"0";"999999999";"0"
"508";"meidco";"";"0";"999999999";"0"
"507";"LIC. CHRISTOPHER TELLERIA";"";"529.2";"999999994";"0"
"506";"DRA. VANESSA PIFANO";"";"529.2";"999999997";"0"
"505";"DRA. NORMELIS SILVA";"";"529.2";"999999999";"0"
"504";"DRA. NOHEMI MELENDEZ";"";"529.2";"999999999";"0"
"501";"DRA. MAGALYS GUZMAN ";"";"529.2";"999999999";"0"
"500";"DRA. GERALDINE MENDOZA";"";"529.2";"999999999";"0"
"499";"DR. SAUL VIEIRA";"";"529.2";"999999998";"0"
"498";"DR. ROGER MARTINEZ";"";"529.2";"999999999";"0"
"497";"DR. MANUEL MONTANA";"";"529.2";"999999998";"0"
"496";"DR. LUIS GUERRA";"";"529.2";"999999999";"0"
"495";"DR.  KERWING TORO";"";"529.2";"999999999";"0"
"494";"DR. JESUS VERA";"";"529.2";"999999999";"0"
"493";"DRA. FLORINDA DUQUE";"";"529.2";"999999999";"0"
"492";"DR. CHAMBERLAIN CHERUBINI";"";"529.2";"999999999";"0"
"491";"DR. ALEXANDER CARRERO";"";"529.2";"999999998";"0"
"490";"DR. CARLOS TOVAR";"";"529.2";"999999999";"0"
"485";"Dr Abelardo J. Bachour D.";"";"529.2";"999999999";"0"
"481";"Dr. prueba 2";"";"";"999999999";"0"
"480";"Dr. Prueba ";"";"";"999999983";"0"
"479";"pulpa de cochino 1kg.";"";"0";"492";"0"
"478";"Pruducto Estrella";"";"0";"1000";"0"
"476";"Dr. Alvaro Espinoza";"";"0";"1000";"0"
"475";"Dra. Mirna Gonzalez";"";"0";"1000";"0"
"473";"Dr. Alvaro Espinoza";"";"0";"1000";"0"
"472";"Dr. Jesus Vera";"";"0";"1000";"0"
"471";"Dr. Gabriel Contreras";"";"0";"1000";"0"
"470";"Dra. Anggie";"";"0";"1000";"0"
"469";"Dr. Manuel Montana";"";"0";"1000";"0"
"468";"Dra. Vanessa pifano";"";"0";"1000";"0"
"467";"Dr. luis guerra";"";"0";"1000";"0"
"466";"Dra. Geraldine Mendoza";"";"0";"1000";"0"
"465";"Dr. Jose haddad";"";"0";"1000";"0"
"464";"Dra. Madeline arias";"";"0";"1000";"0"
"463";"Dr. Luis manuel Ure̱a";"";"0";"1000";"0"
"462";"Dra. Karilyn silva";"";"0";"1000";"0"
"461";"Dr. Cristopher telleria";"";"0";"1000";"0"
"460";"Dra. Lilian pe̱a";"";"0";"1000";"0"
"459";"Dr. Freddy camargo";"";"0";"10000";"0"
"458";"Dra. Florinda duque";"";"0";"10000";"0"
"457";"Dr. Chanberlain cherubini";"";"0";"1000";"0"
"456";"Dra. magaly guzman";"";"0";"10000";"0"
"455";"Dr. Jos̩ Fonseca";"";"0";"1000";"0"
"454";"Dra. Elizabeth Belandria S.";"";"0";"1000";"0"
"453";"Dr. Sa̼l M. Vieira P.";"";"0";"1000";"0"
"452";"Dr. Alexander carrero";"";"0";"10000";"0"
"451";"Pescado Carite en rueda 1Kg";"";"0";"5000";"0"
"450";"Pescado Pargo entero 1Kg";"";"0";"5000";"0"
"444";"Jamon Endiablado Plumrose 110gr";"AE0001";"50.5386";"1000";"0"
"443";"Jamon Endiablado Plumrose 60gr";"AE0002";"31.752";"1000";"0"
"442";"Crema de Arroz Santoni 400gr";"AC0001";"0";"1000";"0"
"441";"Crema De Arroz Primor Pote 900gr";"AC0002";"69.8544";"1000";"0"
"440";"Crema De Arroz Primor Pote 450gr";"AC0003";"44.982";"1000";"0"
"438";"Compota Natulac 186gr";"AV0001";"30.429";"1000";"0"
"437";"Caraotas Blancas Venela  500gr";"AG0001";"46.8342";"1000";"0"
"436";"Caraotas Negras Alvarigua 500gr";"AG0002";"0";"1000";"0"
"435";"Aceite Vegetal Ideal 400ml";"AV0002";"0";"1000";"0"
"276";"Salsa Tartara Fritz 240 Gr.";"";"64.5624";"1000";"0"
"275";"Salsa De Tomate Coma 397 Gr.";"";"0";"1000";"0"
"274";"Salsa De Tomate Kampist 397 Gr.";"";"36.2502";"1000";"0"
"273";"Salsa De Tomate Fergos 397 Gr.";"";"37.5732";"1000";"0"
"272";"Salsa De Tomate Fergos 198 Gr.";"";"26.7246";"1000";"0"
"271";"Salsa Aji Picante Fritz 250 Gr.";"";"46.5696";"1000";"0"
"270";"Sal Refinada Bahia 1 Kg.";"";"0";"1000";"0"
"269";"Sal Refinada Delmar 1 Kg";"";"9.261";"1000";"0"
"268";"Pepitona Margarita Picante 140 Gr.";"";"54.7722";"1000";"0"
"267";"Pasta Para Pasticho Lasagna Galo 200 Gr.";"";"33.6042";"1000";"0"
