"ID";"PRODUCTO";"Activo";"Precio sin tax";"URL imagen";"Cantidad";"Categorias"
"314";"CAFE VERO CAFFE 200 GOUR";"1";"90.116";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_094043.png";"10000";"2,3,12"
"315";"CARAOTA BLAN PANTERA 454G";"1";"46.791";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_121033.png";"10000";"2,3,12,122"
"316";"CARAOTA NEG VENELA 1 KILO";"1";"69.32";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_102839.png";"10000";"2,3,12,122"
"317";"CARAOTA NEG VENELA 400G";"1";"34.66";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_102729.png";"10000";"2,3,12,122"
"318";"CEREAL PLANET FRUIT 240 G";"1";"69.3144544";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_103604.png";"10000";"2,3,12,118"
"319";"CEREAL POP CRONCH 240G";"1";"69.3144544";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_103631.png";"10000";"2,3,12,118"
"320";"CEREAL POP CRONCH CHOCOLATE 240G";"1";"79.7277048";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_103536.png";"10000";"2,3,12,118"
"321";"CEREAL ROCKET CH 120G";"1";"53.7146816";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_103705.png";"10000";"2,3,12,118"
"322";"CEREAL ROCKET CH 220G";"1";"86.643068";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_103455.png";"10000";"2,3,12,118"
"323";"COLADO HEINZ PERA 113G";"1";"34.6572272";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_104408.png";"10000";"2,3,12"
"324";"COLADO NATULAC DURAZNO 113G";"1";"30.8376952";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_104204.png";"10000";"2,3,12"
"325";"COLADO NATULAC MANZANA 113G";"1";"30.8376952";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_104144.png";"10000";"2,3,12"
"326";"COLADO NATULAC MANZANA 186G";"1";"35.0190776";"https://inversionesrpz.com/ayuda/Fotosoriginales/IMG_20231012_104119.png";"10000";"2,3,12"
