"Product ID";Imagen;Nombre;Referencia;Categoría;"Precio (imp. excl.)";"Precio (imp. incl.)";Cantidad;Estado;Posición
61;https://inversionesrpz.com/118/carne-molida-de-primera.jpg;"Carne molida de primera";P000026;Proteínas;11.000000;11;5000;0
62;https://inversionesrpz.com/62/carne-para-desmechar-de-primera.jpg;"Carne para desmechar de primera";P000025;Proteínas;14.000000;14;5000;0
63;https://inversionesrpz.com/63/chuleta-ahumada-de-cochino.jpg;"Chuleta ahumada de cochino";P000024;Inicio;14.000000;14;5000;0
64;https://inversionesrpz.com/64/chuleta-de-res.jpg;"Chuleta de res";P000023;Proteínas;10.000000;10;5000;0
65;https://inversionesrpz.com/65/chuleta-de-cochino.jpg;"Chuleta de cochino";P000022;Inicio;13.000000;13;5000;0
66;https://inversionesrpz.com/66/chuleton.jpg;Chuleton;P000021;Proteínas;15.000000;15;5000;0
67;https://inversionesrpz.com/67/cochino-costilla.jpg;"Cochino costilla";P000020;Inicio;9.000000;9;5000;0
68;https://inversionesrpz.com/68/patas-de-cochino.jpg;"Patas de cochino";P000019;Inicio;10.000000;10;5000;0
69;https://inversionesrpz.com/69/pernil.jpg;Pernil;P000018;Proteínas;10.000000;10;5000;0
70;https://inversionesrpz.com/70/hueso-rojo.jpg;"Hueso rojo";P000017;Proteínas;14.000000;14;5000;0
71;https://inversionesrpz.com/71/lagarto-con-hueso.jpg;"Lagarto con hueso";P000016;Proteínas;14.000000;14;5000;0
72;https://inversionesrpz.com/72/lagarto-sin-hueso.jpg;"Lagarto sin hueso";P000015;Proteínas;9.000000;9;5000;0
73;https://inversionesrpz.com/73/pollo-carapacho.jpg;"Pollo carapacho";P000014;Proteínas;11.000000;11;5000;0
74;https://inversionesrpz.com/74/pollo-churrasco.jpg;"Pollo churrasco";P000013;Proteínas;12.000000;12;5000;0
75;https://inversionesrpz.com/75/pollo-entero.jpg;"Pollo entero";P000012;Proteínas;10.000000;10;5000;0
76;https://inversionesrpz.com/76/higado-de-pollo.jpg;"Higado de Pollo 1kg";P000011;Inicio;15.000000;15;5000;0
77;https://inversionesrpz.com/77/pollo-milanesa.jpg;"Pollo Milanesa 1kg";P000010;Inicio;10.000000;10;5000;0
78;https://inversionesrpz.com/78/pollo-molleja.jpg;"Molleja de Pollo 1kg";P000009;Inicio;11.000000;11;5000;0
79;https://inversionesrpz.com/79/muslo-de-pollo.jpg;"Muslo de Pollo  1kg";P000008;Inicio;14.000000;14;5000;0
80;https://inversionesrpz.com/80/patas-de-pollo.jpg;"Patas de Pollo 1kg";P000007;Inicio;10.000000;10;5000;0
81;https://inversionesrpz.com/81/pechuga-de-pollo-con-hueso.jpg;"Pechuga de Pollo con Hueso 1kg";P000006;Inicio;9.000000;9;5000;0
82;https://inversionesrpz.com/82/picadillo-de-pollo.jpg;"Picadillo de Pollo 1kg";P000005;Inicio;13.000000;13;5000;0
83;https://inversionesrpz.com/83/punta-trasera.jpg;"Punta trasera";P000004;Proteínas;11.000000;11;5000;0
84;https://inversionesrpz.com/84/costilla-de-res.jpg;"Costilla de res";P000003;Proteínas;10.000000;10;5000;0
85;https://inversionesrpz.com/85/lomito-de-res.jpg;"Lomito de res";P000002;Proteínas;14.000000;14;5000;0
86;https://inversionesrpz.com/86/solomo-de-res.jpg;"Solomo de res";P000001;Proteínas;10.000000;10;5000;0
87;https://inversionesrpz.com/87/coca-cola-2-lts.jpg;"Coca Cola 2 Lts.";;Bebidas;12.000000;12;4998;0
88;https://inversionesrpz.com/88/coca-cola-15-lts.jpg;"Coca Cola 1,5 Lts.";;Bebidas;15.000000;15;5000;0
89;https://inversionesrpz.com/89/coca-cola-1-lts.jpg;"Coca Cola 1 Lts.";;Bebidas;11.000000;11;5000;0
90;https://inversionesrpz.com/90/pepsi-2-lts.jpg;"Pepsi 2 Lts.";;Bebidas;13.000000;13;5000;0
