Product ID;34.02;
519;0.00;0
518;0.00;0
517;34.02;1
513;76.54;1
510;0.00;0
509;0.00;0
508;0.00;0
507;680.74;1
506;680.74;1
505;680.74;1
504;680.74;1
501;680.74;1
500;680.74;1
499;680.74;1
498;680.74;1
497;680.74;1
496;680.74;1
495;680.74;1
494;680.74;1
493;680.74;1
492;680.74;1
491;680.74;1
490;680.74;1
485;680.74;1
479;113.97;1
451;0.00;0
450;0.00;0
444;64.98;1
443;40.82;1
442;0.00;0
441;0.00;0
440;57.84;1
438;35.72;1
437;60.16;1
436;0.00;0
435;0.00;0
276;0.00;0
275;0.00;0
274;44.91;1
273;48.65;1
272;32.32;1
271;58.51;1
270;14.97;1
269;11.91;1
268;70.43;1
267;43.21;1
266;0.00;0
265;84.72;1
264;0.00;0
263;0.00;0
262;125.54;1
261;86.07;1
260;51.34;1
259;0.00;0
258;36.74;1
257;0.00;0
256;47.62;1
255;0.00;0
254;47.29;1
253;14.63;1
252;30.96;1
251;53.75;1
250;0.00;0
249;0.00;0
248;0.00;0
247;38.45;1
246;0.00;0
245;0.00;0
244;0.00;0
243;23.79;1
242;65.65;1
241;33.00;1
240;0.00;0
239;0.00;0
238;189.15;1
237;105.46;1
236;0.00;0
235;180.99;1
234;125.54;1
233;89.81;1
232;15.65;1
231;0.00;0
230;0.00;0
229;0.00;0
228;0.00;0
227;0.00;0
226;0.00;0
225;0.00;0
224;0.00;0
223;0.00;0
222;0.00;0
221;0.00;0
220;0.00;0
219;0.00;0
218;0.00;0
217;0.00;0
215;0.00;0
214;37.42;1
213;64.98;1
212;104.45;1
211;50.70;1
210;122.13;1
209;0.00;0
208;64.98;1
207;156.50;1
206;46.95;1
205;23.48;1
204;58.51;1
203;57.15;1
202;55.11;1
201;0.00;0
199;104.70;1
197;52.34;1
196;32.72;1
195;0.00;0
194;358.62;1
192;170.86;1
190;312.98;1
188;96.02;1
187;0.00;0
186;0.00;0
185;79.95;1
184;43.88;1
182;0.00;0
181;48.99;1
180;0.00;0
179;0.00;0
177;0.00;0
176;0.00;0
175;0.00;0
174;27.56;1
173;27.56;1
172;0.00;0
171;0.00;0
169;0.00;0
168;146.62;1
167;70.08;1
166;58.69;1
165;29.26;1
164;140.16;1
163;70.43;1
161;27.56;1
160;0.00;0
159;0.00;0
158;0.00;0
156;273.21;1
155;79.27;1
153;28.57;1
152;0.00;0
150;0.00;0
148;0.00;0
147;79.61;1
146;43.21;1
144;51.35;1
143;0.00;0
141;0.00;0
140;43.88;1
139;0.00;0
137;0.00;0
135;0.00;0
134;0.00;0
133;0.00;0
132;68.46;1
131;34.72;1
130;54.44;1
129;0.00;0
128;0.00;0
127;53.75;1
126;102.70;1
124;0.00;0
123;77.27;1
122;138.47;1
121;51.04;1
120;0.00;0
119;58.17;1
118;0.00;0
117;0.00;0
116;32.32;1
115;0.00;0
114;36.41;1
109;0.00;0
107;0.00;0
106;63.57;1
105;0.00;0
104;0.00;0
103;25.75;1
102;0.00;0
101;0.00;0
100;0.00;0
99;35.37;1
98;37.42;1
97;0.00;0
96;0.00;0
95;68.38;1
94;136.77;1
93;0.00;0
92;60.21;1
91;0.00;0
90;0.00;0
89;30.28;1
88;132.00;1
87;87.09;1
86;0.00;0
85;0.00;0
84;59.53;1
83;0.00;0
82;0.00;0
81;0.00;0
80;0.00;0
79;0.00;0
78;0.00;0
77;0.00;0
76;0.00;0
75;85.06;1
74;0.00;0
73;0.00;0
72;0.00;0
71;0.00;0
70;0.00;0
69;90.15;1
68;30.62;1
67;90.14;1
66;0.00;0
65;76.54;1
64;0.00;0
63;0.00;0
62;93.55;1
61;93.55;1
60;93.55;1
59;0.00;0
58;43.21;1
57;66.00;1
56;70.08;1
55;0.00;0
54;9.86;1
47;0.00;0
46;0.00;0
45;98.65;1
44;38.10;1
41;0.00;0
40;107.27;1
33;0.00;0
32;63.28;1
31;63.28;1
30;87.43;1
29;77.57;1
28;37.42;1
27;46.60;1
26;87.77;1
25;0.00;0
24;0.00;0
23;0.00;0
22;0.00;0
21;0.00;0
20;0.00;0
19;0.00;0
18;0.00;0
8;0.00;0
7;0.00;0
4;39.94;1
3;41.51;1
2;0.00;0
1;41.14;1
