Product ID;Nombre;35.91;estado
539;OREO CHOCOLATE TUBO 108GR;34.48;1
538;MAIZ PARA COTUFA PANTERA 500G;44.57;1
537;Salsa barbecue 1.01 kg;0.00;0
536;Salsa Barbacue 400 g San Cipriano;106.65;1
535;Mostaza 370 g San Cipriano;103.43;1
534;Mayonesa 750 g San Cipriano;184.93;1
533;Ketchup 400 g San Cipriano;90.14;1
532;Aceite de oliva 500 ml San cipriano;412.60;1
531;Aceite de oliva 250 ml San Cipriano;233.43;1
530;LECHE COMPLETA SAN CIPRIANO 900GR;334.68;1
529;LECHE COMPLETA SAN CIPRIANO 400GR;173.44;1
528;LECHE COMPLETA SAN CIPRIANO 200GR;95.16;1
527;ACEITE DE SOYA SAN CIPRIANO 1 LITRO;113.47;1
526;CARAOTAS NEGRAS SAN CIPRIANO 500GR;34.83;1
525;LENTEJAS SAN CIPRIANO 500GR;43.45;1
524;PREDNISONA 50MG;154.42;1
523;TOMATE 1/2 KG;81.87;1
522;OTREK;199.30;1
521;pork belly  bandeja de 1/2 kg;104.86;1
520;Veterinario;0.00;0
519;Pagar el dia de la Cita;0.00;0
518;ATUN ROBIN HOOD 175G;0.00;0
517;TOCINO 1/2 KG;105.13;1
516;SIGMA OTISIG 10 ML;152.61;1
515;OMEPRAZOL 20MG CALOX;169.97;1
514;OFLIMED 15ML;311.21;1
513;CHULETON DE PALETA 1/2 KG;98.76;1
512;NIMESULIDE 10 TAB;104.75;1
511;MIRRAPEL 236 ML;1.07;1
510;Dr. Prueba;0.00;0
509;test;0.00;0
508;meidco;0.00;0
507;LIC. CHRISTOPHER TELLERIA;0.00;0
506;DRA. VANESSA PIFANO;718.20;0
505;DRA. NORMELIS SILVA;718.20;0
504;DRA. NOHEMI MELENDEZ;718.20;0
503;METADOL DR PET;398.60;1
502;MELOVET PLUS;59.84;1
501;DRA. MAGALYS GUZMAN;718.20;1
500;DRA. GERALDINE MENDOZA;718.20;1
499;DR. SAUL VIEIRA;718.20;1
498;DR. ROGER MARTINEZ;718.20;1
497;DR. MANUEL MONTANA;718.20;1
496;DR. LUIS GUERRA;718.20;1
495;DR.  KERWING TORO;718.20;1
494;DR. JESUS VERA;718.20;1
493;DRA. FLORINDA DUQUE;718.20;1
492;DR. CHAMBERLAIN CHERUBINI;718.20;1
491;DR. ALEXANDER CARRERO;718.20;1
490;DR. CARLOS TOVAR;718.20;1
489;MATAGUSANO EQ335;480.59;1
488;LORATADINA 10MG 10 TAB;134.06;1
487;LIZOVET GEL INMUNO 60ML;564.39;1
486;LISODEX SOL ANTISEPTICA 120ML;433.90;1
485;Dr Abelardo J. Bachour D.;718.20;1
484;LISOCAN RAZA GRANDES;511.71;1
483;LISOCAN RAZA MEDIANAS;380.05;1
482;LISOCAN CACHORRO;314.22;1
481;CHAMPU LINVET 200ML;208.88;1
480;LAVESANA POMADA 100GR;645.18;1
479;pulpa de cochino 1/2 kg.;120.30;1
478;LAVESANA POMADA 15GR;295.66;1
477;LAVEFORTE 120ML;349.52;1
476;KURADERM PLATA;542.83;1
475;KEXA 10CM;138.85;1
474;KETOPROFENO CALOX;132.86;1
473;JABON KAWU ECTOPARASITICIDA;79.59;1
472;IODISOL;126.87;1
471;HEPATOPROTECTOR 500ML;1.71;1
470;BAÑO INSECTICIDA GEVETCA 50 ML;177.76;1
469;CHAMPU GENICZIME 250ML;377.65;1
468;CHAMPU GENICZIME 400ML;471.62;1
467;GEL MENTOLADO DEQUINO CON ARNICA 480GR;224.43;1
466;GEL MENTOLADO DEQUINO 480GRS;224.43;1
465;VIMOFARM GASTRINE 50ML;2.14;1
464;FUNGAL TOPICO 50ML;408.77;1
463;FUNGAL ORAL 25 ML;248.97;1
462;FRONTLINE GATO;559.60;1
461;DR PET FLOXSIL SUSPENSIÓN 50 ML;207.08;1
460;FLOXACOL;257.36;1
459;FIPROLAV SPRAY 250 ML;621.84;1
458;FIPROLAV SPRAY 100 ML;419.55;1
457;ENROKUM;138.85;1
456;ENDOLAV PLUS;236.41;1
455;OTI DR PET- 4;208.88;1
454;DOXIKUM 10%;558.99;1
453;DOLOXICAM DR PET;187.93;1
452;DOXICICLINA CALOX;253.77;1
451;Pescado Carite en rueda 1Kg;0.00;0
450;Pescado Pargo entero 1Kg;0.00;0
449;DOG TAB CACHORRO;349.52;1
448;DOG TAB PLUS GRANDE;207.08;1
447;DOG TAB PLUS;103.55;1
446;CREMA CICATRIZANTE DE CALOX 50;568.57;1
445;CONVICAN;480.59;1
444;Jamon Endiablado Plumrose 110gr;59.61;1
443;Jamon Endiablado Plumrose 60gr;43.02;1
442;Crema de Arroz Santoni 400gr;0.00;0
441;Crema De Arroz Primor Pote 900gr;0.00;0
440;Crema De Arroz Primor Pote 450gr;0.00;0
439;COLONIA PET CARE 240ML;262.74;1
438;Compota Natulac 186gr;37.70;1
437;Caraotas Blancas Venela  500gr;0.00;0
436;Caraotas Negras Alvarigua 500gr;0.00;0
435;Aceite Vegetal Ideal 400ml;0.00;0
434;MAIZ PARA COTUFA GABI 500 GR;47.17;1
433;MAIZ ENTERO KALDINI 400 GR;52.18;1
432;MAIZ DULCE TIGO 300 GR;60.33;1
431;MAIZ DULCE NUDELI 200 GR;0.00;0
430;LECHE COMPLETA LLANO ALEGRE 1 KILO;202.89;1
429;LECHE CONDENSADA NATULAC 397GR;86.19;1
428;LECHE CONDENSADA NATULAC 100ML;29.08;1
427;LECHE CONDENSADA CAMPESTRE 395;89.41;1
426;LAVAPLATOS MULTIUSO LIQUIDO NARANJA EL TITAN 500ML;0.00;0
425;LAVAPLATO CREMA EL TITAN 500GR;66.08;1
424;LAVAPLATO CREMA EL TITAN 250GR;37.70;1
423;DETERGENTE LIQUIDO CON SUAVISANTE ULTRASAT 946 ML;0.00;0
422;HORTALIZAS OSOLE 300GR;49.92;1
421;GUISANTES OSOLE 300GR;43.10;1
420;GUISANTES KALDINI 400G;51.71;1
419;GUISANTES AREL 400GR;75.77;1
418;GELATINA QUALIMAX UVA 20GR;15.08;1
417;GELATINA QUALIMAX PINA 20GR;15.08;1
416;GELATINA QUALIMAX FRAMBUESA 20GR;15.08;1
415;GALLETA SODA PUIG 240G;56.74;1
414;GALLETA MARIA PUIG SELEC 250;53.88;1
413;GALLETA BELVITA KRAKER 252G;80.44;1
412;GALLETA BELVITA HONY 252GR;80.44;1
411;FIDEOS KALDINI VEGETAL 70 GR;20.83;1
410;FIDEOS KALDINI CARNE 70 GR;20.83;1
409;ESPONJA MAX HOGAR MALLITA;31.96;1
408;ESENCIA EL AGUILA COLITA 230ML;78.29;1
407;ESENCIA DE NATA EL AGUILA 250ML;70.03;1
406;ESENCIA DE FRESA EL AGUILA 230ML;78.65;1
405;DETERGENTE EL TITAN LIMON 900GR;56.74;1
404;DETERGENTE EL TITAN LAVADO AUTOMATICO 1 KILO;60.33;1
403;DETERGENTE  ABC LIMON 400GR;73.61;1
402;CLORO KINS 1 LITRO;27.65;1
401;CLORO LA PERLA 1 LITRO;0.00;0
400;CLORO SATELITE ULTRA 500 GR;0.00;0
399;CHOCO TONI SANTONI 400 GR;90.59;1
398;CHOCO RICO SAN SIMON 400 GR;92.26;1
397;CHOCOLATE EN POLVO TERRY 400 GR;99.83;1
396;CHOCO COOL 400 GR;109.79;1
395;CHICHA INSTANTÁNEA TONI 400 GR;0.00;0
394;LUMALAC LIFETEA 500 GR;103.06;1
393;CHICHA CON LECHE SAN SIMON 500 GR;107.70;1
392;CHICHA CAMPESTRE 400 GR;90.59;1
391;CHICHA CAMPESTRE 200 GR;54.94;1
390;SHAMPOO UNO MANZANILLA 300ML;80.79;1
389;SHAMPOO UNO MENTA 300ML;80.79;1
388;SHAMPOO UNO OLIVA 300ML;0.00;0
387;SHAMPOO UNO COCO 300ML;0.00;0
386;CEREAL AZUCARADA 240G;89.13;1
385;AZUCAR DON GENARO 1 KILO;45.92;1
384;ARROZ MARY DORADO 800 GR;44.67;1
383;VINAGRE OLYMPIA 1L;51.71;1
382;VINAGRE HEINZ BLANCO 500ML;40.58;1
381;VINAGRE EUREKA 500ML;32.67;1
380;VINAGRE EUREKA 1000ML;60.33;1
379;VINAGRE ENVAPRIMOLCA 500ML;22.37;1
378;VINAGRE ENVAPRIMOLCA 1L;32.69;1
377;VINAGRE CAP GROUP 500M;24.06;1
376;VINAGRE CAP GROUP 250M;19.75;1
375;VINAGRE CAP GROUP 1L;35.91;1
374;TOALLAS HUMEDA MOMI ALOE 72 UND;43.10;1
373;TOALLAS HUMEDA MOMI 50 UND;26.94;1
372;SALSA TOMATE KETCHUP EUREKA 397G;40.44;1
371;SALSA TOMATE KETCHUP DON ANTONIO 397GR;45.08;1
370;SALSA TOMATE KETCHUP COMA PLAST 4KG;386.13;1
369;SALSA TOMATE  KETCHUP COLMENA 397G;55.52;1
368;SALSA ROSADA FRITZ 260G;69.71;1
367;SALSA AHUMADITA FRITZ 240GR;86.19;1
366;PASTA TOMATE COMA 4K VID;0.00;0
365;PASTA HORIZONTE TORNIL 1K EE;52.18;1
364;PASTA CAPRI E E LARGA 1;47.84;1
363;PAPEL ROSAL PLUS 215H VER P;44.88;1
362;MOSTAZA COMA 1K;110.25;1
361;MAYONESA TIGO 500GR;114.79;1
360;MAYONESA MISERICORDIA 445GR;93.93;1
359;MAYONESA MISERICORDIA 175G;48.83;1
358;MAYONESA MAVESA ADER 3.6KG;0.00;0
357;MAYONESA KALDINI 445GR;101.02;1
356;MAYONESA 100 X100TO 175G;45.08;1
355;MARGA LA MISERICORDIA 454GR;0.00;0
354;MARGA LA MISERICORDIA 227GR;0.00;0
353;MANTEQ LA DELICIA 500GR;60.94;1
352;MANTEQ LA DELICIA 250GR;30.48;1
351;MANTECA MISERICORDIA 400GR;75.77;1
350;MAIZINA AMERICANA 120G;44.53;1
349;LENTEJA GABI 400GR;39.50;1
348;LECHE POLVO SAN SIMON 900GR;305.98;1
347;LECHE POLVO LUMALAC 1 KILO;292.51;1
346;LECHE LIQ COMP SAN SIMON 1L;62.13;1
345;JABON REXONA ANTIBAC AVENA 3X1;103.43;1
344;JABON DOVE ORIGINAL 90GR;0.00;0
343;HARINA TRIGO MARY T USO 900G;46.46;1
342;Diablitos Under Wood 50G;45.60;1
341;Diablitos Under Wood 100 Gr;82.60;1
340;DESINF TITAN PINO 1L;41.29;1
339;DESINF TITAN FRESA 1L;41.29;1
338;DESINF TITAN FLORAL 1L;41.29;1
337;DESINF MISTOLIN AROMATIZANTE NARANJA;56.78;1
336;DESINF MISTOLIN AIR NAV PIN ES;56.78;1
335;CREMA LECHE KALDINI 170G;0.00;0
334;CREMA LECHE DI FIORE 170G;36.99;1
333;COLADO OSOLE PERA 100G;20.04;1
332;COLADO OSOLE MANZANA 100;20.04;1
331;COLADO OSOLE FRU MIX 100GR;20.04;1
330;COLADO OSOLE DURAZNO 100GR;20.04;1
329;COLADO OSOLE CIRUELA 100GR;20.04;1
328;COLADO NATULAC PERA 186G;38.41;1
327;COLADO NATULAC PERA 113G;32.98;1
326;COLADO NATULAC MANZANA 186G;38.41;1
325;COLADO NATULAC MANZANA 113G;32.98;1
324;COLADO NATULAC DURAZNO 113G;32.98;1
323;COLADO HEINZ PERA 113G;36.32;1
322;CEREAL ROCKET CH 220G;86.82;1
321;CEREAL ROCKET CH 120G;48.01;1
320;CEREAL POP CRONCH CHOCOLATE 240G;90.59;1
319;CEREAL ABCI-TOO´S MAIZORITOS 240G;85.16;1
318;CEREAL PLANET FRUIT 240 G;69.71;1
317;CARAOTA NEG VENELA 400G;36.88;1
316;CARAOTA NEG VENELA 1 KILO;78.48;1
315;CARAOTA BLAN PANTERA 454G;52.18;1
314;CAFE VERO CAFFE 200 GOUR;103.43;1
313;CAFE SAN ANTONIO 200G GOURM;91.84;1
312;CAFE LA PROTECTORA 250G;83.48;1
311;CAFE LA PROTECTORA 100G;33.39;1
310;CAFE JP 200G;65.54;1
309;CAFE FLOR D ARAUCA 500G;146.11;1
308;CAFE FLOR D ARAUCA 200G;60.69;1
307;CAFE FAVORITO 50GR;15.08;1
306;CAFE FAVORITO 200GR;58.53;1
305;CAFE FAVORITO 100G;29.08;1
304;CAFE DELLA NONNA 200GR;63.56;1
303;CAFE DELLA NONNA 100GR;37.34;1
302;AZUCAR 100 X 100 900GR;45.92;1
301;AVENA VENELA 400GR;33.39;1
300;AVENA MI CHACHA 800GR;74.71;1
299;ATUN EVEBA ACEIT VEG 170GR;85.16;1
298;ATUN EVEBA ACEIT VEG 140GR;63.56;1
297;ATUN DIPLOMATICO TOMATE 170GR;31.30;1
296;ATUN 170G WILLINGER ACEITE;48.01;1
295;ATUN 170G WILLIENGER AGUA;48.01;1
294;ATUN 142G WILLINGER ACEITE;41.29;1
293;ARVEJA VERDE CHACHA 400;32.98;1
292;ARVEJA VERDE CHACHA 1K;79.31;1
291;ARVEJA VERD VENELA 500;39.66;1
290;ARVEJA VERD PANTERA 900;73.89;1
289;ARROZ VENELA 900GR;40.44;1
288;ARROZ SANTONI ZAFI 800;40.90;1
287;ARROZ SANTONI PREM 900G;40.90;1
286;ARROZ SANTONI EXCEL 1K;43.81;1
285;ARROZ PRIMOR CLASICO 1K;45.72;1
284;ARROZ MARY ESMERA 900G;51.34;1
283;ARROZ GRAN MARQUES 1K PR;42.58;1
282;ACEITE SOYA 900ML;76.40;1
281;ACEITE SALAD ESP 900ML;75.14;1
280;ACEITE PORTUMESA 700ML;65.95;1
279;ACEITE OLIVA KALDINI VID 1L;598.98;1
278;ACEITE OLIVA GALLO 500ML;371.67;1
277;ACEITE ALMA 800ML;75.77;1
276;Salsa Tartara Fritz 240 Gr.;97.27;1
275;Salsa De Tomate Coma 397 Gr.;0.00;0
274;Salsa De Tomate Kampist 397 Gr.;0.00;0
273;Salsa De Tomate Fergos 397 Gr.;48.83;1
272;Salsa De Tomate Fergos 198 Gr.;37.34;1
271;Salsa Aji Picante Fritz 250 Gr.;71.82;1
270;Sal Refinada Bahia 1 Kg.;15.70;1
269;Sal Refinada Delmar 1 Kg;12.57;1
268;Pepitona Margarita Picante 140 Gr.;76.24;1
267;Pasta Para Pasticho Lasagna Galo 200 Gr.;45.72;1
266;Pasta Larga Primor 500 Gr.;0.00;0
265;Pasta Corta Primor 1 Kg.;82.24;1
264;Pasta Corta Primor 500 Gr.;0.00;0
263;Pasta Allegri Espiral 1 KG;0.00;0
262;Mayonesa Mavesa 445 Gr.;122.17;1
261;Maizina Americana 400 Gr.;96.72;1
