Product ID;Imagen;Nombre;Precio (imp. excl.);Estado;;
519;https://inversionesrpz.com//pr-codwfeeplus.jpg;Cash on Delivery Fee;0.00;0;;
518;https://inversionesrpz.com/378/atun-robin-hood-175g.jpg;ATUN ROBIN HOOD 175G;25.22;1;;
517;https://inversionesrpz.com/377/tocino-1-kg.jpg;TOCINO 1 KG;56.70;1;;
513;https://inversionesrpz.com/376/chuleton-de-paleta-1kg.jpg;CHULETON DE PALETA 1KG;127.59;1;;
510;https://inversionesrpz.com//dr-prueba.jpg;Dr. Prueba;0.00;0;;
509;https://inversionesrpz.com//test.jpg;test;0.00;0;;
508;https://inversionesrpz.com//meidco.jpg;meidco;0.00;0;;
507;https://inversionesrpz.com/375/lic-christopher-telleria.jpg;LIC. CHRISTOPHER TELLERIA;567.00;1;;
506;https://inversionesrpz.com/374/dra-vanessa-pifano.jpg;DRA. VANESSA PIFANO;567.00;1;;
505;https://inversionesrpz.com/373/dra-normelis-silva.jpg;DRA. NORMELIS SILVA;567.00;1;;
504;https://inversionesrpz.com/372/dra-nohemi-melendez.jpg;DRA. NOHEMI MELENDEZ;567.00;1;;
501;https://inversionesrpz.com/369/dra-magalys-guzman.jpg;DRA. MAGALYS GUZMAN;567.00;1;;
500;https://inversionesrpz.com/368/dra-geraldine-mendoza.jpg;DRA. GERALDINE MENDOZA;567.00;1;;
499;https://inversionesrpz.com/367/dr-saul-vieira.jpg;DR. SAUL VIEIRA;567.00;1;;
498;https://inversionesrpz.com/366/dr-roger-martinez.jpg;DR. ROGER MARTINEZ;567.00;1;;
497;https://inversionesrpz.com/365/dr-manuel-montana.jpg;DR. MANUEL MONTANA;567.00;1;;
496;https://inversionesrpz.com/364/dr-luis-guerra.jpg;DR. LUIS GUERRA;567.00;1;;
495;https://inversionesrpz.com/363/dr-kerwing-toro.jpg;DR.  KERWING TORO;567.00;1;;
494;https://inversionesrpz.com/362/dr-jesus-vera.jpg;DR. JESUS VERA;567.00;1;;
493;https://inversionesrpz.com/361/dra-florinda-duque.jpg;DRA. FLORINDA DUQUE;567.00;1;;
492;https://inversionesrpz.com/358/dr-chamberlain-cherubini.jpg;DR. CHAMBERLAIN CHERUBINI;567.00;1;;
491;https://inversionesrpz.com/360/dr-alexander-carrero.jpg;DR. ALEXANDER CARRERO;567.00;1;;
490;https://inversionesrpz.com/355/dr-carlos-tovar.jpg;DR. CARLOS TOVAR;567.00;1;;
485;https://inversionesrpz.com/359/dr-abelardo-j-bachour-d.jpg;Dr Abelardo J. Bachour D.;567.00;1;;
479;https://inversionesrpz.com/345/pulpa-de-cerdo.jpg;pulpa de cochino 1kg.;189.96;1;;
451;https://inversionesrpz.com/309/pescado-carite-en-rueda-1kg.jpg;Pescado Carite en rueda 1Kg;0.00;0;;
450;https://inversionesrpz.com/308/pargo-entero-1kg.jpg;Pescado Pargo entero 1Kg;0.00;0;;
444;https://inversionesrpz.com/261/jamon-endiablado-plumrose-110gr.jpg;Jamon Endiablado Plumrose 110gr;54.16;1;;
443;https://inversionesrpz.com/260/jamon-endiablado-plumrose-60gr.jpg;Jamon Endiablado Plumrose 60gr;34.02;1;;
442;https://inversionesrpz.com/259/crema-de-arroz-santoni-400gr.jpg;Crema de Arroz Santoni 400gr;0.00;0;;
441;https://inversionesrpz.com/258/crema-de-arroz-primor-pote-900gr.jpg;Crema De Arroz Primor Pote 900gr;74.84;1;;
440;https://inversionesrpz.com/257/crema-de-arroz-primor-pote-450gr.jpg;Crema De Arroz Primor Pote 450gr;48.21;1;;
438;https://inversionesrpz.com/256/compota-natulac-186gr.jpg;Compota Natulac 186gr;29.77;1;;
437;https://inversionesrpz.com/255/caraotas-venela-blancas-500gr.jpg;Caraotas Blancas Venela  500gr;50.19;1;;
436;https://inversionesrpz.com/254/caraotas-alvarigua-500gr.jpg;Caraotas Negras Alvarigua 500gr;0.00;0;;
435;https://inversionesrpz.com/253/aceite-vegetal-ideal-400ml.jpg;Aceite Vegetal Ideal 400ml;0.00;0;;
276;https://inversionesrpz.com/306/salsa-tartara-fritz-240-gr.jpg;Salsa Tartara Fritz 240 Gr.;69.17;1;;
275;https://inversionesrpz.com/305/salsa-de-tomate-coma-397-gr.jpg;Salsa De Tomate Coma 397 Gr.;0.00;0;;
274;https://inversionesrpz.com/304/salsa-de-tomate-kampist-397-gr.jpg;Salsa De Tomate Kampist 397 Gr.;38.84;1;;
273;https://inversionesrpz.com/303/salsa-de-tomate-fergos-397-gr.jpg;Salsa De Tomate Fergos 397 Gr.;37.99;1;;
272;https://inversionesrpz.com/302/salsa-de-tomate-fergos-198-gr.jpg;Salsa De Tomate Fergos 198 Gr.;27.21;1;;
271;https://inversionesrpz.com/301/salsa-aji-picante-fritz-250-gr.jpg;Salsa Aji Picante Fritz 250 Gr.;0.00;0;;
270;https://inversionesrpz.com/351/sal-bahia-1-kg.jpg;Sal Refinada Bahia 1 Kg.;12.47;1;;
269;https://inversionesrpz.com/299/sal-delmar-1-kg.jpg;Sal Refinada Delmar 1 Kg;9.93;1;;
268;https://inversionesrpz.com/298/pepitona-margarita-picante-140-gr.jpg;Pepitona Margarita Picante 140 Gr.;58.68;1;;
267;https://inversionesrpz.com/297/pasta-para-pasticho-lasagna-galo-200-gr.jpg;Pasta Para Pasticho Lasagna Galo 200 Gr.;36.00;1;;
266;https://inversionesrpz.com/296/pasta-larga-primor-500-gr.jpg;Pasta Larga Primor 500 Gr.;0.00;0;;
265;https://inversionesrpz.com/295/pasta-corta-primor-1-kg.jpg;Pasta Corta Primor 1 Kg.;70.59;1;;
264;https://inversionesrpz.com/294/pasta-corta-primor-500-gr.jpg;Pasta Corta Primor 500 Gr.;0.00;0;;
263;https://inversionesrpz.com/293/pasta-allegri-espiral-1-kg.jpg;Pasta Allegri Espiral 1 KG;0.00;0;;
262;https://inversionesrpz.com/292/mayonesa-mavesa-445-gr.jpg;Mayonesa Mavesa 445 Gr.;104.61;1;;
261;https://inversionesrpz.com/291/maizina-americana-400-gr.jpg;Maizina Americana 400 Gr.;70.02;1;;
260;https://inversionesrpz.com/290/lentejas-pantera-454-gr.jpg;Lentejas Pantera 454 Gr.;45.64;1;;
259;https://inversionesrpz.com/262/leche-en-polvo-dobon-400-gr.jpg;Leche En Polvo Dobon 400 Gr.;0.00;0;;
258;https://inversionesrpz.com/289/jabon-las-llaves-fragancia-bebe-160-gr.jpg;Jabon Las Llaves Fragancia Bebe 160 Gr.;29.77;1;;
257;https://inversionesrpz.com/288/jabon-azul-las-llaves-200-gr.jpg;Jabon Azul Las Llaves 200 Gr.;0.00;0;;
256;https://inversionesrpz.com//jabon-azul-las-llaves-250-gr.jpg;Jabon Azul Las Llaves 250 Gr.;39.41;1;;
255;https://inversionesrpz.com/287/guisantes-en-vidro-190-gr.jpg;Guisantes En Vidro 190 Gr;0.00;0;;
