Product ID;Image;Name;Description;Brand;Reference;Category;Price (tax excl.);Price (tax incl.);Quantity;Status;Position
;https://inversionesrpz.com/imagenes/chuleta-ahumada.jpg;Chuleta ahumada de cochino;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/chuleta-res.png;Chuleta de res;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/chuleta-cochino.jpg;Chuleta de cochino;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/cochino-chuleton.jpg;Chuleton;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/cochino-costilla.jpg;Cochino costilla;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/cochino-patas.jpg;Patas de cochino;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/cochino-pernil.jpg;Pernil;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/hueso-rojo-png;Hueso rojo;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/lagarto-conhueso.jpg;Lagarto con hueso;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/lagarto-sinhueso.png;Lagarto sin hueso;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/pollo-carapacho.jpg;Pollo carapacho;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/pollo-churrasco.jpg;Pollo churrasco;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/pollo-entero.jpg;Pollo entero;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/pollo-higado;Higado de pollo;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/pollo-milanesa.jpg;Pollo milanesa;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/pollo-molleja.jpg;Pollo molleja;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/pollo-muslo.jpg;Muslo de pollo;;;;Proteínas;;;;;
;https://inversionesrpz.com/imagenes/pollo-patas.jpg;Patas de pollo;;;;Proteínas;;;;;
