542;PASSATA SINDONI 480 GR;114.34;1
541;PAPEL ALUMINIO ALNAFOL 6.7M;81.93;1
540;OREO FRESA TUBO 108GR;36.69;1
539;OREO CHOCOLATE TUBO 108GR;34.20;1
538;MAIZ PARA COTUFA PANTERA 500G;41.41;1
537;Salsa barbecue 1.01 kg;0.00;0
536;Salsa Barbacue 400 g San Cipriano;105.79;1
535;Mostaza 370 g San Cipriano;102.59;1
534;Mayonesa 750 g San Cipriano;183.44;1
533;Ketchup 400 g San Cipriano;89.41;1
532;Aceite de oliva 500 ml San cipriano;409.27;1
531;Aceite de oliva 250 ml San Cipriano;231.54;1
530;LECHE COMPLETA SAN CIPRIANO 900GR;331.98;1
529;LECHE COMPLETA SAN CIPRIANO 400GR;172.04;1
528;LECHE COMPLETA SAN CIPRIANO 200GR;94.39;1
527;ACEITE DE SOYA SAN CIPRIANO 1 LITRO;112.55;1
526;CARAOTAS NEGRAS SAN CIPRIANO 500GR;34.55;1
525;LENTEJAS SAN CIPRIANO 500GR;43.10;1
524;PREDNISONA 50MG;153.17;1
523;TOMATE 1/2 KG;81.21;1
522;OTREK;197.69;1
521;pork belly  bandeja de 1/2 kg;104.01;1
520;Veterinario;0.00;0
519;Pagar el dia de la Cita;0.00;0
518;ATUN ROBIN HOOD 175G;0.00;0
517;TOCINO 1/2 KG;104.28;1
516;SIGMA OTISIG 10 ML;151.38;1
515;OMEPRAZOL 20MG CALOX;168.60;1
514;OFLIMED 15ML;308.70;1
513;CHULETON DE PALETA 1/2 KG;97.96;1
512;NIMESULIDE 10 TAB;103.90;1
511;MIRRAPEL 236 ML;1,059.70;1
510;Dr. Prueba;0.00;0
509;test;0.00;0
508;meidco;0.00;0
507;LIC. CHRISTOPHER TELLERIA;0.00;0
506;DRA. VANESSA PIFANO;712.40;1
505;DRA. NORMELIS SILVA;712.40;1
504;DRA. NOHEMI MELENDEZ;712.40;1
503;METADOL DR PET;395.38;1
502;MELOVET PLUS;59.36;1
501;DRA. MAGALYS GUZMAN;712.40;1
500;DRA. GERALDINE MENDOZA;712.40;1
499;DR. SAUL VIEIRA;712.40;1
498;DR. ROGER MARTINEZ;712.40;1
497;DR. MANUEL MONTANA;712.40;1
496;DR. LUIS GUERRA;712.40;1
495;DR.  KERWING TORO;712.40;1
494;DR. JESUS VERA;712.40;1
493;DRA. FLORINDA DUQUE;712.40;1
492;DR. CHAMBERLAIN CHERUBINI;712.40;1
491;DR. ALEXANDER CARRERO;712.40;1
490;DR. CARLOS TOVAR;712.40;1
489;MATAGUSANO EQ335;476.71;1
488;LORATADINA 10MG 10 TAB;132.98;1
487;LIZOVET GEL INMUNO 60ML;559.83;1
486;LISODEX SOL ANTISEPTICA 120ML;430.40;1
485;Dr Abelardo J. Bachour D.;712.40;1
484;LISOCAN RAZA GRANDES;507.58;1
483;LISOCAN RAZA MEDIANAS;376.98;1
482;LISOCAN CACHORRO;311.68;1
481;CHAMPU LINVET 200ML;207.19;1
480;LAVESANA POMADA 100GR;639.97;1
479;pulpa de cochino 1/2 kg.;119.33;1
478;LAVESANA POMADA 15GR;293.27;1
477;LAVEFORTE 120ML;346.70;1
476;KURADERM PLATA;538.45;1
475;KEXA 10CM;137.73;1
474;KETOPROFENO CALOX;131.79;1
473;JABON KAWU ECTOPARASITICIDA;78.95;1
472;IODISOL;125.85;1
471;HEPATOPROTECTOR 500ML;1,697.88;1
470;BAÑO INSECTICIDA GEVETCA 50 ML;176.32;1
469;CHAMPU GENICZIME 250ML;374.60;1
468;CHAMPU GENICZIME 400ML;467.81;1
467;GEL MENTOLADO DEQUINO CON ARNICA 480GR;222.62;1
466;GEL MENTOLADO DEQUINO 480GRS;222.62;1
465;VIMOFARM GASTRINE 50ML;2,122.36;1
464;FUNGAL TOPICO 50ML;405.47;1
463;FUNGAL ORAL 25 ML;246.96;1
462;FRONTLINE GATO;555.08;1
461;DR PET FLOXSIL SUSPENSIÓN 50 ML;205.41;1
460;FLOXACOL;255.28;1
459;FIPROLAV SPRAY 250 ML;616.82;1
458;FIPROLAV SPRAY 100 ML;416.16;1
457;ENROKUM;137.73;1
456;ENDOLAV PLUS;234.50;1
455;OTI DR PET- 4;207.19;1
454;DOXIKUM 10%;554.48;1
453;DOLOXICAM DR PET;186.41;1
452;DOXICICLINA CALOX;251.72;1
451;Pescado Carite en rueda 1Kg;0.00;0
450;Pescado Pargo entero 1Kg;0.00;0
449;DOG TAB CACHORRO;346.70;1
448;DOG TAB PLUS GRANDE;205.41;1
447;DOG TAB PLUS;102.71;1
446;CREMA CICATRIZANTE DE CALOX 50;563.98;1
445;CONVICAN;476.71;1
444;Jamon Endiablado Plumrose 110gr;59.13;1
443;Jamon Endiablado Plumrose 60gr;42.75;1
442;Crema de Arroz Santoni 400gr;0.00;0
441;Crema De Arroz Primor Pote 900gr;0.00;0
440;Crema De Arroz Primor Pote 450gr;0.00;0
439;COLONIA PET CARE 240ML;260.62;1
438;Compota Natulac 186gr;37.40;1
437;Caraotas Blancas Venela  500gr;0.00;0
436;Caraotas Negras Alvarigua 500gr;0.00;0
435;Aceite Vegetal Ideal 400ml;0.00;0
434;MAIZ PARA COTUFA GABI 500 GR;46.79;1
433;MAIZ ENTERO KALDINI 400 GR;51.76;1
432;MAIZ DULCE TIGO 300 GR;59.84;1
431;MAIZ DULCE NUDELI 200 GR;0.00;0
430;LECHE COMPLETA LLANO ALEGRE 1 KILO;201.25;1
429;LECHE CONDENSADA NATULAC 397GR;85.49;1
428;LECHE CONDENSADA NATULAC 100ML;28.85;1
427;LECHE CONDENSADA CAMPESTRE 395;88.69;1
426;LAVAPLATOS MULTIUSO LIQUIDO NARANJA EL TITAN 500ML;0.00;0
425;LAVAPLATO CREMA EL TITAN 500GR;65.55;1
424;LAVAPLATO CREMA EL TITAN 250GR;37.40;1
423;DETERGENTE LIQUIDO CON SUAVISANTE ULTRASAT 946 ML;0.00;0
422;HORTALIZAS OSOLE 300GR;49.52;1
421;GUISANTES OSOLE 300GR;42.75;1
420;GUISANTES KALDINI 400G;51.29;1
419;GUISANTES AREL 400GR;75.16;1
418;GELATINA QUALIMAX UVA 20GR;14.96;1
417;GELATINA QUALIMAX PINA 20GR;14.96;1
416;GELATINA QUALIMAX FRAMBUESA 20GR;14.96;1
415;GALLETA SODA PUIG 240G;56.28;1
414;GALLETA MARIA PUIG SELEC 250;53.44;1
413;GALLETA BELVITA KRAKER 252G;79.79;1
412;GALLETA BELVITA HONY 252GR;79.79;1
411;FIDEOS KALDINI VEGETAL 70 GR;20.66;1
410;FIDEOS KALDINI CARNE 70 GR;20.66;1
409;ESPONJA MAX HOGAR MALLITA;31.70;1
408;ESENCIA EL AGUILA COLITA 230ML;77.66;1
407;ESENCIA DE NATA EL AGUILA 250ML;69.46;1
406;ESENCIA DE FRESA EL AGUILA 230ML;78.01;1
405;DETERGENTE EL TITAN LIMON 900GR;56.28;1
404;DETERGENTE EL TITAN LAVADO AUTOMATICO 1 KILO;59.84;1
403;DETERGENTE  ABC LIMON 400GR;73.02;1
402;CLORO KINS 1 LITRO;27.43;1
401;CLORO LA PERLA 1 LITRO;0.00;0
