Product ID;Imagen;Precio (imp. incl.)
1;https://inversionesrpz.com/1/harina-de-maiz-amarilla-pan-presentacion-1kg.jpg;0
2;https://inversionesrpz.com/2/arroz-blanco-entero-presentacion-1kg.jpg;9.99
3;https://inversionesrpz.com/3/arroz-blanco-entero-presentacion-1kg.jpg;10.49
4;https://inversionesrpz.com/126/arroz-blanco-entero-presentacion-1kg.jpg;9.99
7;https://inversionesrpz.com/128/azucar-blanca-presentacion-1kg.jpg;0
8;https://inversionesrpz.com/8/azucar-blanca-presentacion-1kg.jpg;0
18;https://inversionesrpz.com/18/caraotas-negras-presentacion-1kg.jpg;0
19;https://inversionesrpz.com/19/harina-de-trigo-leudante-presentacion-1kgg.jpg;0
20;https://inversionesrpz.com/20/harina-de-trigo-leudante-presentacion-1kgg.jpg;0
21;https://inversionesrpz.com/21/leche-en-polvo-sin-gluten-presentacion-200g.jpg;0
22;https://inversionesrpz.com/22/leche-en-polvo-completa-presentacion-1kgg.jpg;0
23;https://inversionesrpz.com/23/leche-en-polvo-completa-presentacion-500g.jpg;0
24;https://inversionesrpz.com/24/leche-en-polvo-completa-presentacion-900g.jpg;0
25;https://inversionesrpz.com/25/lentejas-presentacion-de-400g.jpg;0
26;https://inversionesrpz.com/26/mantequilla-presentacion-de-1kg.jpg;22.47
27;https://inversionesrpz.com/27/mantequilla-presentacion-de-250g.jpg;12.49
28;https://inversionesrpz.com/28/mantequilla-presentacion-de-250g.jpg;11.49
29;https://inversionesrpz.com/29/mantequilla-presentacion-de-500g.jpg;20.98
30;https://inversionesrpz.com/30/margarina-ligera-presentacion-de-500g.jpg;0
31;https://inversionesrpz.com/31/mayonesa-presentacion-175g.jpg;18.48
32;https://inversionesrpz.com/32/mayonesa-presentacion-175g.jpg;17.48
33;https://inversionesrpz.com/33/mayonesa-presentacion-900g.jpg;0
40;https://inversionesrpz.com/40/sal-refinada-presentacion-1kgg.jpg;0
41;https://inversionesrpz.com/41/sal-refinada-presentacion-1kgg.jpg;0
44;https://inversionesrpz.com/131/salsa-ketchup-presentacion-de-198g.jpg;0
45;https://inversionesrpz.com/130/carne-para-bistek-de-primera.jpg;0
46;https://inversionesrpz.com/129/carne-para-guisar-de-primera.jpg;0
47;https://inversionesrpz.com//carne-molida-de-primera.jpg;0
54;https://inversionesrpz.com/54/sal-refinada-presentacion-1kgg.jpg;0
55;https://inversionesrpz.com/55/sal-refinada-presentacion-1kgg.jpg;0
56;https://inversionesrpz.com/56/salsa-ketchup-presentacion-de-397g.jpg;0
57;https://inversionesrpz.com/121/salsa-ketchup-presentacion-de-397g.jpg;0
58;https://inversionesrpz.com/119/salsa-ketchup-presentacion-de-198g.jpg;0
59;https://inversionesrpz.com/59/carne-para-bistek-de-primera.jpg;0
60;https://inversionesrpz.com/60/carne-para-guisar-de-primera.jpg;0
61;https://inversionesrpz.com/118/carne-molida-de-primera.jpg;0
62;https://inversionesrpz.com/62/carne-para-desmechar-de-primera.jpg;0
63;https://inversionesrpz.com/63/chuleta-ahumada-de-cochino.jpg;0
64;https://inversionesrpz.com/64/chuleta-de-res.jpg;0
65;https://inversionesrpz.com/65/chuleta-de-cochino.jpg;0
66;https://inversionesrpz.com/66/chuleton.jpg;0
67;https://inversionesrpz.com/67/cochino-costilla.jpg;0
68;https://inversionesrpz.com/68/patas-de-cochino.jpg;0
69;https://inversionesrpz.com/69/pernil.jpg;0
70;https://inversionesrpz.com/70/hueso-rojo.jpg;0
71;https://inversionesrpz.com/71/lagarto-con-hueso.jpg;0
72;https://inversionesrpz.com/72/lagarto-sin-hueso.jpg;0
73;https://inversionesrpz.com/73/pollo-carapacho.jpg;0
74;https://inversionesrpz.com/74/pollo-churrasco.jpg;0
75;https://inversionesrpz.com/75/pollo-entero.jpg;0
76;https://inversionesrpz.com/76/higado-de-pollo.jpg;0
77;https://inversionesrpz.com/77/pollo-milanesa.jpg;0
78;https://inversionesrpz.com/78/pollo-molleja.jpg;0
79;https://inversionesrpz.com/79/muslo-de-pollo.jpg;0
80;https://inversionesrpz.com/80/patas-de-pollo.jpg;0
81;https://inversionesrpz.com/81/pechuga-de-pollo-con-hueso.jpg;0
82;https://inversionesrpz.com/82/picadillo-de-pollo.jpg;0
83;https://inversionesrpz.com/83/punta-trasera.jpg;0
84;https://inversionesrpz.com/84/costilla-de-res.jpg;0
85;https://inversionesrpz.com/85/lomito-de-res.jpg;0
86;https://inversionesrpz.com/86/solomo-de-res.jpg;0
87;https://inversionesrpz.com/87/coca-cola-2-lts.jpg;0
88;https://inversionesrpz.com/88/coca-cola-15-lts.jpg;0
89;https://inversionesrpz.com/89/coca-cola-1-lts.jpg;0
90;https://inversionesrpz.com/90/pepsi-2-lts.jpg;0
91;https://inversionesrpz.com/117/pepsi-15-lts.jpg;0
92;https://inversionesrpz.com/92/pepsi-1-lts.jpg;0
93;https://inversionesrpz.com/93/glup-cola-1-lts.jpg;0
94;https://inversionesrpz.com/94/glup-cola-2-lts.jpg;0
95;https://inversionesrpz.com/95/gatorade.jpg;0
96;https://inversionesrpz.com/116/jabon-en-polvo-ace-1-kg.jpg;0
97;https://inversionesrpz.com/115/lavaplatos-kris.jpg;0
98;https://inversionesrpz.com/114/cloro-kris-1-lts.jpg;12.99
99;https://inversionesrpz.com/113/cloro-kris-38-lts.jpg;0
100;https://inversionesrpz.com/112/jabon-azul-panela-las-llaves.jpg;0
101;https://inversionesrpz.com/111/toallas-sanitarias-alive.jpg;0
102;https://inversionesrpz.com/133/afeitadora-maturbe.jpg;0
