Product ID;Image;Name;Reference;Category;Price (tax excl.);Price (tax incl.);Quantity;Status;Position
47;https://inversionesrpz.com/51/mantequilla-presentacion-de-1kg.jpg;Mantequilla, presentacion de 1Kg.;;Víveres;0.000000;0;0;1;
46;https://inversionesrpz.com/50/lentejas-presentacion-de-400g.jpg;lentejas, presentacion de 400g;;Víveres;0.000000;0;0;1;
45;https://inversionesrpz.com/49/leche-en-polvo-completa-presentacion-900g.jpg;Leche en polvo completa, presentacion 900g;;Víveres;0.000000;0;0;1;
44;https://inversionesrpz.com/48/leche-en-polvo-completa-presentacion-500g.jpg;Leche en polvo completa, presentacion 500g;;Víveres;0.000000;0;0;1;
43;https://inversionesrpz.com/47/leche-en-polvo-completa-presentacion-1kgg.jpg;Leche en polvo completa, presentacion 1Kg.g;;Víveres;0.000000;0;0;1;
42;https://inversionesrpz.com/46/leche-en-polvo-sin-gluten-presentacion-200g.jpg;Leche en polvo sin gluten, presentacion 200g;;Víveres;0.000000;0;0;1;
41;https://inversionesrpz.com/45/harina-de-trigo-leudante-presentacion-1kgg.jpg;Harina de trigo leudante, presentacion 1Kg.g;;Víveres;0.000000;0;0;1;
40;https://inversionesrpz.com/44/harina-de-trigo-leudante-presentacion-1kgg.jpg;Harina de trigo leudante, presentacion 1Kg.g;;Víveres;0.000000;0;0;1;
39;https://inversionesrpz.com/43/caraotas-negras-presentacion-1kg.jpg;Caraotas negras, presentacion 1Kg.;;Víveres;0.000000;0;0;1;
38;https://inversionesrpz.com/42/cafe-molido-presentacion-100g.jpg;Café molido, presentacion 100g;;Víveres;0.000000;0;0;1;
37;https://inversionesrpz.com/41/cafe-molido-presentacion-100g.jpg;Café molido, presentacion 100g;;Víveres;0.000000;0;0;1;
36;https://inversionesrpz.com/40/cafe-molido-presentacion-500g.jpg;Café molido, presentacion 500g;;Víveres;0.000000;0;0;1;
35;https://inversionesrpz.com/39/cafe-molido-presentacion-200g.jpg;Café molido, presentacion 200g;;Víveres;0.000000;0;0;1;
34;https://inversionesrpz.com/38/cafe-molido-presentacion-100g.jpg;Café molido, presentacion 100g;;Víveres;0.000000;0;0;1;
33;https://inversionesrpz.com/37/cafe-molido-presentacion-500g.jpg;Café molido, presentacion 500g;;Víveres;0.000000;0;0;1;
32;https://inversionesrpz.com/36/cafe-molido-presentacion-250g.jpg;Café molido, presentacion 250g;;Víveres;0.000000;0;0;1;
31;https://inversionesrpz.com/35/cafe-molido-presentacion-200g.jpg;Café molido, presentacion 200g;;Víveres;0.000000;0;0;1;
30;https://inversionesrpz.com/34/cafe-molido-presentacion-100g.jpg;Café molido, presentacion 100g;;Víveres;0.000000;0;0;1;
29;https://inversionesrpz.com/33/azucar-blanca-presentacion-1kg.jpg;Azúcar blanca, presentacion 1Kg.;;Víveres;0.000000;0;0;1;
28;https://inversionesrpz.com/32/azucar-blanca-presentacion-1kg.jpg;Azúcar blanca, presentacion 1Kg.;;Víveres;0.000000;0;0;1;
27;https://inversionesrpz.com/31/harina-de-maiz-precocida-presentacion-1kg.jpg;Harina de maiz precocida, presentacion 1Kg.;;Víveres;0.000000;0;0;1;
26;https://inversionesrpz.com/30/arroz-blanco-entero-presentacion-1kg.jpg;Arroz blanco entero, presentacion 1Kg.;;Víveres;0.000000;0;0;1;
25;https://inversionesrpz.com/29/arroz-blanco-entero-presentacion-1kg.jpg;Arroz blanco entero, presentacion 1Kg.;;Víveres;0.000000;0;0;1;
24;https://inversionesrpz.com/28/arroz-blanco-entero-presentacion-1kg.jpg;Arroz blanco entero, presentacion 1Kg.;;Víveres;0.000000;0;0;1;
23;https://inversionesrpz.com/27/arroz-blanco-entero-presentacion-1kg.jpg;Arroz blanco entero, presentacion 1Kg.;;Víveres;0.000000;0;0;1;
22;https://inversionesrpz.com/26/harina-de-maiz-amarilla-presentacion-1kg.jpg;Harina de maiz amarilla, presentacion 1Kg.;;Víveres;0.000000;0;0;1;
20;https://inversionesrpz.com/24/harina-pan-1-kg.jpg;Harina Pan 1 kg;;Delivery;1.300.000;1.3;0;1;
19;https://inversionesrpz.com/22/customizable-mug.jpg;Customizable mug;demo_14;Home;13.900.000;13.9;300;0;
18;https://inversionesrpz.com/20/hummingbird-notebook.jpg;Hummingbird notebook;demo_10;Construcción y Ferretería;12.900.000;12.9;1200;0;
17;https://inversionesrpz.com/19/brown-bear-notebook.jpg;Brown bear notebook;demo_9;Construcción y Ferretería;12.900.000;12.9;1200;0;
16;https://inversionesrpz.com/18/mountain-fox-notebook.jpg;Mountain fox notebook;demo_8;Construcción y Ferretería;12.900.000;12.9;1200;0;
15;https://inversionesrpz.com/23/pack-mug-framed-poster.jpg;Pack Mug + Framed poster;demo_21;Servicios Automotrices;35.000.000;35;100;0;
14;https://inversionesrpz.com/17/hummingbird-vector-graphics.jpg;Hummingbird - Vector graphics;demo_20;Eventos y Festejos;9.000.000;9;300;0;
