Product ID;Imagen;Peso;Caracteristicas;;
444;https://inversionesrpz.com/261/jamon-endiablado-plumrose-110gr.jpg;0,11;Presentación: Solido;;
443;https://inversionesrpz.com/260/jamon-endiablado-plumrose-60gr.jpg;0,06;Presentación: Solido;;
442;https://inversionesrpz.com/259/crema-de-arroz-santoni-400gr.jpg;0,4;Presentación: Solido;;
441;https://inversionesrpz.com/258/crema-de-arroz-primor-pote-900gr.jpg;0,9;Presentación: Solido;;
440;https://inversionesrpz.com/257/crema-de-arroz-primor-pote-450gr.jpg;0,45;Presentación: Solido;;
438;https://inversionesrpz.com/256/compota-natulac-186gr.jpg;0,186;Presentación: Solido;;
437;https://inversionesrpz.com/255/caraotas-venela-blancas-500gr.jpg;0,5;Presentación: Solido;;
436;https://inversionesrpz.com/254/caraotas-alvarigua-500gr.jpg;0,5;Presentación: Solido;;
435;https://inversionesrpz.com/253/aceite-vegetal-ideal-400ml.jpg;0,4;Presentación: Solido;;
240;https://inversionesrpz.com/252/toddy-2kg.jpg;2;Presentación: Polvo;;
239;https://inversionesrpz.com/251/toddy-1kg.jpg;1;Presentación: Polvo;;
238;https://inversionesrpz.com/250/toddy-400gr.jpg;0,4;Presentación: Polvo;;
237;https://inversionesrpz.com/249/toddy-200gr.jpg;0,2;Presentación: Polvo;;
236;https://inversionesrpz.com/248/rikesa-tocineta-300gr.jpg;0,3;Presentación: Solido;;
235;https://inversionesrpz.com/247/rikesa-cheedar-200gr.jpg;0,2;Presentación: Solido;;
234;https://inversionesrpz.com/246/dalvito-300gr.jpg;0,3;Presentación: Solido;;
233;https://inversionesrpz.com/245/dalvito-200gr.jpg;0,2;Presentación: Solido;;
231;https://inversionesrpz.com/244/pasta-de-tomate-coma-3850kg.jpg;3,85;Presentación: Solido;;
230;https://inversionesrpz.com/243/pasta-de-tomate-coma-500gr.jpg;0,5;Presentación: Solido;;
229;https://inversionesrpz.com/242/pasta-de-tomate-coma-200gr.jpg;0,2;Presentación: Solido;;
228;https://inversionesrpz.com/241/pasticho-sindoni-250gr.jpg;0,25;Presentación: Solido;;
227;https://inversionesrpz.com/240/pasticho-ronco-250gr.jpg;0,25;Presentación: Solido;;
226;https://inversionesrpz.com/239/refresco-glup-1l.jpg;1;Presentación: Liquido;;
225;https://inversionesrpz.com/238/refresco-glup-2l.jpg;2;Presentación: Liquido;;
224;https://inversionesrpz.com/237/refresco-pepsi-15l.jpg;1,5;Presentación: Liquido;;
223;https://inversionesrpz.com/236/pepsi-2l.jpg;2;Presentación: Liquido;;
222;https://inversionesrpz.com/235/coca-cola-2l.jpg;2;Presentación: Liquido;;
221;https://inversionesrpz.com/234/gatorade-500ml.jpg;0,5;Presentación: Liquido;;
220;https://inversionesrpz.com/233/coca-cola-1l.jpg;1;Presentación: Liquido;;
218;https://inversionesrpz.com/231/coca-cola-15l.jpg;1,5;Presentación: Liquido;;
217;https://inversionesrpz.com/229/margarina-la-excelencia-15kg.jpg;1;Presentación: Solido;;
215;https://inversionesrpz.com/227/margarina-chef-sin-sal-.jpg;1,5;Presentación: Solido;;
214;https://inversionesrpz.com/226/margarina-deline-250gr.jpg;0,25;Presentación: Solido;;
213;https://inversionesrpz.com/225/margarina-deline-500gr.jpg;0,5;Presentación: Solido;;
212;https://inversionesrpz.com/224/mayonesa-fergos-445gr.jpg;0,445;Presentación: Solido;;
211;https://inversionesrpz.com/223/mayonesa-fergos-175gr.jpg;0,175;Presentación: Solido;;
210;https://inversionesrpz.com/222/mayonesa-kraft-445gr.jpg;0,445;Presentación: Solido;;
209;https://inversionesrpz.com/221/mayonesa-mavesa-36kg.jpg;0,36;Presentación: Polvo;;
207;https://inversionesrpz.com/220/maizina-americana-800gr.jpg;0,8;Presentación: Polvo;;
206;https://inversionesrpz.com/219/maizina-americana-200gr.jpg;0,2;Presentación: Polvo;;
205;https://inversionesrpz.com/218/maizina-americana-90gr.jpg;0,09;Presentación: Polvo;;
204;https://inversionesrpz.com/217/leche-liquida-completa-la-pastorena-1l.jpg;1;Presentación: Liquido;;
203;https://inversionesrpz.com/216/leche-liquida-descremada-la-pastorena-1l.jpg;1;Presentación: Liquido;;
202;https://inversionesrpz.com/215/leche-liquida-completa-purisima-1l.jpg;1;Presentación: Liquido;;
