Product ID;Estado;PRECIO;;
520;1;0.00;;
519;0;0.00;;
518;0;0.00;;
517;1;34.66;;
513;1;77.98;;
510;0;0.00;;
509;0;0.00;;
508;0;0.00;;
507;1;693.54;;
506;1;693.54;;
505;1;693.54;;
504;1;693.54;;
501;1;693.54;;
500;1;693.54;;
499;1;693.54;;
498;1;693.54;;
497;1;693.54;;
496;1;693.54;;
495;1;693.54;;
494;1;693.54;;
493;1;693.54;;
492;1;693.54;;
491;1;693.54;;
490;1;693.54;;
485;1;693.54;;
479;1;116.11;;
451;0;0.00;;
450;0;0.00;;
444;1;72.08;;
443;1;41.59;;
442;0;0.00;;
441;0;0.00;;
440;1;58.93;;
438;1;35.69;;
437;0;0.00;;
436;0;0.00;;
435;0;0.00;;
276;0;0.00;;
275;0;0.00;;
274;1;45.75;;
273;1;47.14;;
272;1;36.05;;
271;1;69.42;;
270;1;15.25;;
269;1;12.13;;
268;1;69.67;;
267;1;44.02;;
266;1;39.86;;
265;1;79.39;;
264;0;0.00;;
263;0;0.00;;
262;1;129.28;;
261;1;87.69;;
260;1;51.64;;
259;1;106.66;;
258;1;37.43;;
257;1;39.26;;
256;1;44.02;;
255;0;0.00;;
254;1;48.18;;
253;1;14.90;;
252;1;31.54;;
251;1;54.76;;
250;0;0.00;;
249;0;0.00;;
248;0;0.00;;
247;1;39.17;;
246;0;0.00;;
245;1;55.80;;
244;0;0.00;;
243;1;24.24;;
242;1;63.43;;
241;1;31.89;;
240;1;873.09;;
239;1;441.64;;
238;1;192.71;;
237;1;105.96;;
236;1;172.26;;
235;1;184.39;;
234;1;127.91;;
233;1;106.06;;
232;1;21.14;;
231;0;0.00;;
230;0;0.00;;
229;0;0.00;;
228;0;0.00;;
227;0;0.00;;
226;0;0.00;;
225;0;0.00;;
224;0;0.00;;
223;0;0.00;;
222;0;0.00;;
221;0;0.00;;
220;0;0.00;;
219;0;0.00;;
218;0;0.00;;
217;0;0.00;;
215;0;0.00;;
214;1;38.12;;
213;1;72.79;;
212;1;106.42;;
211;1;51.64;;
210;1;127.90;;
209;0;0.00;;
208;1;66.20;;
207;1;159.44;;
206;1;47.83;;
205;1;23.93;;
204;1;58.23;;
203;1;58.23;;
202;1;56.15;;
201;0;0.00;;
199;1;106.67;;
197;1;53.32;;
196;1;33.33;;
195;0;0.00;;
194;1;358.73;;
192;1;174.08;;
190;1;315.06;;
188;1;97.83;;
187;0;0.00;;
186;0;0.00;;
185;1;81.45;;
184;1;44.71;;
182;0;0.00;;
181;1;49.91;;
180;0;0.00;;
179;1;54.80;;
177;0;0.00;;
176;0;0.00;;
175;0;0.00;;
174;1;32.23;;
173;1;28.08;;
172;0;0.00;;
171;0;0.00;;
169;1;53.21;;
168;1;149.37;;
167;1;71.39;;
166;1;59.79;;
165;0;0.00;;
164;1;142.80;;
163;1;67.93;;
161;1;28.08;;
160;0;0.00;;
159;1;59.96;;
158;0;0.00;;
156;1;167.06;;
155;1;63.77;;
153;1;33.62;;
152;0;0.00;;
150;0;0.00;;
148;1;37.20;;
147;1;80.41;;
146;1;42.98;;
144;0;0.00;;
143;0;0.00;;
141;0;0.00;;
140;0;0.00;;
139;0;0.00;;
137;0;0.00;;
135;0;0.00;;
134;1;44.68;;
133;0;0.00;;
132;1;69.74;;
131;1;35.36;;
130;1;55.46;;
129;0;0.00;;
128;0;0.00;;
127;1;54.76;;
126;1;102.59;;
124;0;0.00;;
123;1;78.73;;
122;1;139.33;;
121;1;52.01;;
120;0;0.00;;
119;1;59.26;;
118;0;0.00;;
117;0;0.00;;
116;1;29.81;;
115;1;33.68;;
114;1;37.09;;
109;0;0.00;;
107;0;0.00;;
106;1;64.77;;
105;0;0.00;;
104;0;0.00;;
103;1;26.34;;
102;0;0.00;;
101;0;0.00;;
100;0;0.00;;
99;1;36.04;;
98;1;38.12;;
97;0;0.00;;
96;0;0.00;;
95;0;0.00;;
94;1;139.33;;
93;0;0.00;;
92;1;61.34;;
91;1;61.45;;
90;0;0.00;;
89;1;30.84;;
88;1;134.48;;
87;1;88.73;;
86;1;110.91;;
85;1;110.91;;
84;1;60.65;;
83;1;110.91;;
82;0;0.00;;
81;0;0.00;;
80;0;0.00;;
79;0;0.00;;
78;0;0.00;;
77;0;0.00;;
76;0;0.00;;
75;1;86.67;;
74;0;0.00;;
73;0;0.00;;
72;0;0.00;;
71;0;0.00;;
70;0;0.00;;
69;1;91.85;;
68;1;31.20;;
67;1;91.84;;
66;0;0.00;;
65;1;77.98;;
64;0;0.00;;
63;0;0.00;;
62;1;95.31;;
61;1;95.31;;
60;1;95.31;;
59;0;0.00;;
58;1;44.02;;
57;1;66.27;;
56;1;71.39;;
55;0;0.00;;
54;1;10.05;;
47;0;0.00;;
46;0;0.00;;
45;1;100.51;;
44;1;38.82;;
41;0;0.00;;
40;1;102.59;;
33;0;0.00;;
32;1;64.48;;
31;1;64.48;;
30;1;89.08;;
29;1;79.03;;
28;1;38.12;;
27;1;47.48;;
26;1;89.42;;
25;0;0.00;;
24;0;0.00;;
23;0;0.00;;
22;0;0.00;;
21;0;0.00;;
20;0;0.00;;
19;0;0.00;;
18;0;0.00;;
8;0;0.00;;
7;0;0.00;;
4;1;40.69;;
3;1;42.29;;
2;0;0.00;;
1;1;41.92;;
