Product ID;Estado;PRECIO
520;1;0
519;0;0
518;0;0
517;1;34.25
513;1;77.06
510;0;0
509;0;0
508;0;0
507;1;685.34
506;1;685.34
505;1;685.34
504;1;685.34
501;1;685.34
500;1;685.34
499;1;685.34
498;1;685.34
497;1;685.34
496;1;685.34
495;1;685.34
494;1;685.34
493;1;685.34
492;1;685.34
491;1;685.34
490;1;685.34
485;1;685.34
479;1;114.74
451;0;0
450;0;0
444;1;71.23
443;1;41.1
442;0;0
441;0;0
440;1;58.23
438;1;35.96
437;0;0
436;0;0
435;0;0
276;0;0
275;0;0
274;1;45.21
273;1;48.98
272;1;32.54
271;0;0
270;1;15.07
269;1;11.99
268;1;70.91
267;1;43.5
266;1;39.38
265;1;85.29
264;0;0
263;0;0
262;1;126.39
261;1;86.65
260;1;51.69
259;1;105.4
258;1;36.99
257;1;38.8
256;1;47.94
255;0;0
254;1;47.61
253;1;14.73
252;1;31.17
251;1;54.11
250;0;0
249;0;0
248;0;0
247;1;38.71
246;0;0
245;1;55.14
244;0;0
243;1;23.95
242;1;66.09
241;1;33.22
240;1;862.58
239;1;436.41
238;1;190.43
237;1;104.71
236;0;0
235;1;182.21
234;1;126.39
233;1;90.42
232;1;15.76
231;0;0
230;0;0
229;0;0
228;0;0
227;0;0
226;0;0
225;0;0
224;0;0
223;0;0
222;0;0
221;0;0
220;0;0
219;0;0
218;0;0
217;0;0
215;0;0
214;1;37.67
213;1;65.42
212;1;105.16
211;1;51.04
210;1;122.96
209;0;0
208;1;65.42
207;1;157.56
206;1;47.27
205;1;23.64
204;1;58.91
203;1;57.54
202;1;55.48
201;0;0
199;1;105.41
197;1;52.69
196;1;32.94
195;0;0
194;1;357.77
192;1;172.02
190;1;315.1
188;1;96.67
187;0;0
186;0;0
185;1;80.49
184;1;44.18
182;0;0
181;1;49.32
180;0;0
179;1;54.15
177;0;0
176;0;0
175;0;0
174;1;32.49
173;1;27.75
172;0;0
171;0;0
169;1;52.58
168;1;147.61
167;1;70.55
166;1;59.09
165;1;29.46
164;1;141.11
163;1;70.91
161;1;27.75
160;0;0
159;1;59.08
158;0;0
156;1;275.06
155;1;77.79
153;1;28.36
152;0;0
150;1;70.52
148;1;36.76
147;1;80.15
146;1;43.5
144;1;51.7
143;0;0
141;0;0
140;1;44.18
139;0;0
137;0;0
135;0;0
134;1;44.15
133;0;0
132;1;68.92
131;1;34.95
130;1;54.81
129;0;0
128;0;0
127;1;54.11
126;1;103.39
124;0;0
123;1;77.79
122;1;139.41
121;1;51.39
120;0;0
119;1;58.56
118;0;0
117;0;0
116;1;32.54
115;1;33.28
114;1;36.66
109;0;0
107;0;0
106;1;64
105;0;0
104;0;0
103;1;25.92
102;0;0
101;0;0
100;0;0
99;1;35.61
98;1;37.67
97;0;0
96;0;0
95;1;68.84
94;1;137.69
93;0;0
92;1;60.62
91;1;60.72
90;0;0
89;1;30.48
88;1;132.89
87;1;87.68
86;1;109.6
85;1;109.6
84;1;59.93
83;1;109.6
82;0;0
81;0;0
80;0;0
79;0;0
78;0;0
77;0;0
76;0;0
75;1;85.64
74;0;0
73;0;0
72;0;0
71;0;0
70;0;0
69;1;90.76
68;1;30.83
67;1;90.75
66;0;0
65;1;77.06
64;0;0
63;0;0
62;1;94.18
61;1;94.18
60;1;94.18
59;0;0
58;1;43.5
57;1;66.45
56;1;70.55
55;0;0
54;1;9.93
47;0;0
46;0;0
45;1;99.32
44;1;38.36
41;0;0
40;1;108
33;0;0
32;1;63.71
31;1;63.71
30;1;88.02
29;1;78.09
28;1;37.67
27;1;46.92
26;1;88.36
25;0;0
24;0;0
23;0;0
22;0;0
21;0;0
20;0;0
19;0;0
18;0;0
8;0;0
7;0;0
4;1;40.21
3;1;41.79
2;0;0
1;1;41.42
