Product ID;Imagen;Nombre;35.09;
277;https://inversionesrpz.com/400/aceite-alma-800ml.jpg;ACEITE ALMA 800ML;74.04;1
122;https://inversionesrpz.com/147/aceite-de-maiz-mazeite-1l.jpg;Aceite de Maiz  MAZEITE 1L;134.39;1
531;https://inversionesrpz.com/390/aceite-de-oliva-250-ml-san-cipriano.jpg;Aceite de oliva 250 ml San Cipriano;228.09;1
532;https://inversionesrpz.com/391/aceite-de-oliva-500-ml-san-cipriano.jpg;Aceite de oliva 500 ml San cipriano;403.18;1
123;https://inversionesrpz.com/148/aceite-coamo-de-soya-900ml.jpg;Aceite de Soya Coamo  900ml;78.60;1
124;https://inversionesrpz.com/149/aceite-corcovado-900ml.jpg;Aceite de Soya Corcovado 900ml;0.00;0
527;https://inversionesrpz.com/386/aceite-de-soya-san-cipriano-1-litro.jpg;ACEITE DE SOYA SAN CIPRIANO 1 LITRO;110.88;1
126;https://inversionesrpz.com/150/aceite-vatel-soya-1l.jpg;Aceite de Soya Vatel 1L;86.32;1
127;https://inversionesrpz.com/151/aceite-vatel-soya-500ml.jpg;Aceite de Soya Vatel 500ml;73.69;1
278;https://inversionesrpz.com/401/aceite-oliva-gallo-500ml.jpg;ACEITE OLIVA GALLO 500ML;363.18;1
279;https://inversionesrpz.com/402/aceite-oliva-kaldini-vid-1l.jpg;ACEITE OLIVA KALDINI VID 1L;585.30;1
280;https://inversionesrpz.com/403/aceite-portumesa-700ml.jpg;ACEITE PORTUMESA 700ML;63.86;1
281;https://inversionesrpz.com/404/aceite-salad-esp-900ml.jpg;ACEITE SALAD ESP 900ML;73.69;1
282;https://inversionesrpz.com/405/aceite-soya-900ml.jpg;ACEITE SOYA 900ML;0.00;0
435;https://inversionesrpz.com/253/aceite-vegetal-ideal-400ml.jpg;Aceite Vegetal Ideal 400ml;0.00;0
40;https://inversionesrpz.com/263/sal-refinada-presentacion-1kgg.jpg;Aceite Vegetal Vatel 1 Lt.;102.81;1
128;https://inversionesrpz.com/152/aceitunas-casa-de-fruta-rellenas-180gr.jpg;Aceitunas Casa De Fruta Rellenas 180gr;0.00;0
129;https://inversionesrpz.com/153/aceitunas-enteras-verdes-casa-de-fruta-240gr.jpg;Aceitunas Enteras Verdes Casa De Fruta 240gr;0.00;0
102;https://inversionesrpz.com/133/afeitadora-maturbe.jpg;Afeitadora Maturbe;0.00;0
88;https://inversionesrpz.com/267/coca-cola-15-lts.jpg;Ajax Liquido Multi Superficies 1 Lt.;158.26;1
87;https://inversionesrpz.com/266/coca-cola-2-lts.jpg;Ajax Liquido Multi Superficies 500 Ml;89.83;1
584;https://inversionesrpz.com/1113/antibiotico-ocular-y-otico-ciprofloxacino-cipzy-15ml.jpg;ANTIBIOTICO OCULAR Y ÓTICO CIPROFLOXACINO CIPZY 15ML;0.00;0
3;https://inversionesrpz.com/3/arroz-blanco-entero-presentacion-1kg.jpg;Arroz Agua Blanca 1Kg.;42.81;1
283;https://inversionesrpz.com/406/arroz-gran-marques-1k-pr.jpg;ARROZ GRAN MARQUES 1K PR;40.35;1
384;https://inversionesrpz.com/1061/arroz-mary-dorado-800-gr.jpg;ARROZ MARY DORADO 800 GR;43.16;1
284;https://inversionesrpz.com/407/arroz-mary-esmera-900g.jpg;ARROZ MARY ESMERA 900G;49.48;1
