Product ID;Image;Name;Reference;Category;Price (tax excl.);Price (tax incl.);Quantity;Status;Position;
46;https://inversionesrpz.com/imagenes/carne-guisar.png;Carne para guisar de primera;;Proteínas;13,00;0;5000;1;;
47;https://inversionesrpz.com/imagenes/carne-molida.png;Carne molida de primera;;Proteínas;12,00;0;5000;1;;
48;https://inversionesrpz.com/imagenes/carne-paradesmechar.png;Carne para desmechar de primera;;Proteínas;11,00;0;5000;1;;
49;https://inversionesrpz.com/imagenes/chuleta-ahumada.jpg;Chuleta ahumada de cochino;;Proteínas;13,00;0;5000;1;;
50;https://inversionesrpz.com/imagenes/chuleta-res.png;Chuleta de res;;Proteínas;14,00;0;5000;1;;
51;https://inversionesrpz.com/imagenes/chuleta-cochino.jpg;Chuleta de cochino;;Proteínas;10,00;0;5000;1;;
52;https://inversionesrpz.com/imagenes/cochino-chuleton.jpg;Chuleton;;Proteínas;11,00;0;5000;1;;
53;https://inversionesrpz.com/imagenes/cochino-costilla.jpg;Cochino costilla;;Proteínas;10,00;0;5000;1;;
54;https://inversionesrpz.com/imagenes/cochino-patas.jpg;Patas de cochino;;Proteínas;14,00;0;5000;1;;
55;https://inversionesrpz.com/imagenes/cochino-pernil.jpg;Pernil;;Proteínas;14,00;0;5000;1;;
56;https://inversionesrpz.com/imagenes/hueso-rojo.png;Hueso rojo;;Proteínas;10,00;0;5000;1;;
57;https://inversionesrpz.com/imagenes/lagarto-conhueso.jpg;Lagarto con hueso;;Proteínas;13,00;0;5000;1;;
58;https://inversionesrpz.com/imagenes/lagarto-sinhueso.png;Lagarto sin hueso;;Proteínas;13,00;0;5000;1;;
59;https://inversionesrpz.com/imagenes/pollo-carapacho.jpg;Pollo carapacho;;Proteínas;14,00;0;5000;1;;
60;https://inversionesrpz.com/imagenes/pollo-churrasco.jpg;Pollo churrasco;;Proteínas;13,00;0;5000;1;;
61;https://inversionesrpz.com/imagenes/pollo-entero.jpg;Pollo entero;;Proteínas;10,00;0;5000;1;;
62;https://inversionesrpz.com/imagenes/pollo-higado.jpg;Higado de pollo;;Proteínas;14,00;0;5000;1;;
63;https://inversionesrpz.com/imagenes/pollo-milanesa.jpg;Pollo milanesa;;Proteínas;9,00;0;5000;1;;
64;https://inversionesrpz.com/imagenes/pollo-molleja.jpg;Pollo molleja;;Proteínas;14,00;0;5000;1;;
65;https://inversionesrpz.com/imagenes/pollo-muslo.jpg;Muslo de pollo;;Proteínas;14,00;0;5000;1;;
66;https://inversionesrpz.com/imagenes/pollo-patas.jpg;Patas de pollo;;Proteínas;14,00;0;5000;1;;
67;https://inversionesrpz.com/imagenes/pollo-pechugaconhueso.jpg;Pechuga de pollo con hueso;;Proteínas;13,00;0;5000;1;;
68;https://inversionesrpz.com/imagenes/pollo-picadillo.jpg;Picadillo de pollo;;Proteínas;12,00;0;5000;1;;
69;https://inversionesrpz.com/imagenes/punta-trasera.jpg;Punta trasera;;Proteínas;9,00;0;5000;1;;
