Product ID;Cantidad
19;1000
20;1000
21;1000
22;1000
23;1000
24;1000
40;1000
41;1000
44;1000
87;1000
88;1000
89;1000
90;1000
91;1000
92;1000
93;1000
94;1000
95;1000
208;1000
219;1000
232;1000
241;1000
242;1000
243;1000
244;1000
245;1000
246;1000
247;1000
248;1000
249;1000
250;1000
251;1000
252;1000
253;1000
254;1000
255;1000
256;1000
257;1000
258;1000
259;1000
260;1000
261;1000
262;1000
263;1000
264;1000
265;1000
266;1000
267;1000
268;1000
269;1000
270;1000
271;1000
272;1000
273;1000
274;1000
275;1000
276;1000
226;1000
225;1000
224;1000
223;1000
222;1000
221;1000
220;1000
218;1000
442;1000
441;1000
440;1000
207;1000
206;1000
205;1000
175;1000
174;1000
173;1000
172;1000
171;1000
169;1000
133;1000
132;1000
131;1000
130;1000
444;1000
443;1000
185;1000
184;1000
139;1000
137;1000
437;1000
436;1000
188;1000
187;1000
186;1000
147;1000
146;1000
144;1000
143;1000
25;1000
18;1000
236;1000
235;1000
234;1000
233;1000
204;1000
203;1000
202;1000
201;1000
199;1000
197;1000
196;1000
195;1000
194;1000
192;1000
190;1000
231;1000
230;1000
229;1000
212;1000
211;1000
210;1000
209;1000
58;1000
57;1000
56;1000
33;1000
32;1000
31;1000
438;1000
435;1000
240;1000
239;1000
238;1000
237;1000
228;1000
227;1000
215;1000
214;1000
213;1000
182;1000
181;1000
180;1000
179;1000
177;1000
176;1000
168;1000
167;1000
166;1000
165;1000
164;1000
163;1000
161;1000
160;1000
159;1000
158;1000
156;1000
155;1000
153;1000
152;1000
150;1000
148;1000
141;1000
140;1000
135;1000
134;1000
129;1000
128;1000
127;1000
126;1000
124;1000
123;1000
122;1000
121;1000
120;1000
119;1000
118;1000
117;1000
116;1000
115;1000
114;1000
107;1000
55;1000
54;1000
30;1000
29;1000
28;1000
27;1000
26;1000
8;1000
7;1000
4;1000
3;1000
2;1000
1;1000
217;1000
109;1000
106;1000
105;1000
104;1000
103;1000
102;1000
101;1000
100;1000
99;1000
98;1000
97;1000
96;1000
86;1000
85;1000
84;1000
83;1000
82;1000
81;1000
80;1000
79;1000
78;1000
77;1000
76;1000
75;1000
74;1000
73;1000
72;1000
71;1000
70;1000
69;1000
68;1000
67;1000
66;1000
65;1000
64;1000
63;1000
62;1000
61;1000
60;1000
59;1000
47;1000
46;1000
45;1000
