Product ID;Imagen;Nombre;Referencia;Categoría;Precio (imp. excl.);Precio (imp. incl.);Cantidad;Estado;Posición;32.81;33.66
519;https://inversionesrpz.com//pr-codwfeeplus.jpg;Cash on Delivery Fee;COD;Inicio;0;Bs.0,00;100;0;;0.00;0.00
518;https://inversionesrpz.com/378/atun-robin-hood-175g.jpg;ATUN ROBIN HOOD 175G;;Inicio;29.2;Bs.29,20;71;0;;0.89;29.96
517;https://inversionesrpz.com/377/tocino-1-kg.jpg;TOCINO 1 KG;;Inicio;65.62;Bs.65,62;1000;0;;2.00;67.32
513;https://inversionesrpz.com/376/chuleton-de-paleta-1kg.jpg;CHULETON DE PALETA 1KG;;Inicio;147.65;Bs.147,65;9999;0;;4.50;151.48
510;https://inversionesrpz.com//dr-prueba.jpg;Dr. Prueba;;Inicio;0;Bs.0,00;999999999;0;;0.00;0.00
509;https://inversionesrpz.com//test.jpg;test;;Inicio;0;Bs.0,00;999999999;0;;0.00;0.00
508;https://inversionesrpz.com//meidco.jpg;meidco;;Inicio;0;Bs.0,00;999999999;0;;0.00;0.00
507;https://inversionesrpz.com/375/lic-christopher-telleria.jpg;LIC. CHRISTOPHER TELLERIA;;Inicio;656.53;Bs.656,53;999999994;0;;20.01;673.54
506;https://inversionesrpz.com/374/dra-vanessa-pifano.jpg;DRA. VANESSA PIFANO;;Inicio;656.53;Bs.656,53;999999997;0;;20.01;673.54
505;https://inversionesrpz.com/373/dra-normelis-silva.jpg;DRA. NORMELIS SILVA;;Inicio;656.53;Bs.656,53;999999999;0;;20.01;673.54
504;https://inversionesrpz.com/372/dra-nohemi-melendez.jpg;DRA. NOHEMI MELENDEZ;;Inicio;656.53;Bs.656,53;999999999;0;;20.01;673.54
501;https://inversionesrpz.com/369/dra-magalys-guzman.jpg;DRA. MAGALYS GUZMAN;;Salud;656.53;Bs.656,53;999999999;0;;20.01;673.54
500;https://inversionesrpz.com/368/dra-geraldine-mendoza.jpg;DRA. GERALDINE MENDOZA;;Inicio;656.53;Bs.656,53;999999999;0;;20.01;673.54
499;https://inversionesrpz.com/367/dr-saul-vieira.jpg;DR. SAUL VIEIRA;;Inicio;656.53;Bs.656,53;999999998;0;;20.01;673.54
498;https://inversionesrpz.com/366/dr-roger-martinez.jpg;DR. ROGER MARTINEZ;;Inicio;656.53;Bs.656,53;999999999;0;;20.01;673.54
497;https://inversionesrpz.com/365/dr-manuel-montana.jpg;DR. MANUEL MONTANA;;Inicio;656.53;Bs.656,53;999999998;0;;20.01;673.54
496;https://inversionesrpz.com/364/dr-luis-guerra.jpg;DR. LUIS GUERRA;;Inicio;656.53;Bs.656,53;999999999;0;;20.01;673.54
495;https://inversionesrpz.com/363/dr-kerwing-toro.jpg;DR.  KERWING TORO;;Inicio;656.53;Bs.656,53;999999999;0;;20.01;673.54
494;https://inversionesrpz.com/362/dr-jesus-vera.jpg;DR. JESUS VERA;;Inicio;656.53;Bs.656,53;999999999;0;;20.01;673.54
493;https://inversionesrpz.com/361/dra-florinda-duque.jpg;DRA. FLORINDA DUQUE;;Inicio;656.53;Bs.656,53;999999999;0;;20.01;673.54
492;https://inversionesrpz.com/358/dr-chamberlain-cherubini.jpg;DR. CHAMBERLAIN CHERUBINI;;Inicio;656.53;Bs.656,53;999999998;0;;20.01;673.54
491;https://inversionesrpz.com/360/dr-alexander-carrero.jpg;DR. ALEXANDER CARRERO;;Inicio;656.53;Bs.656,53;999999999;0;;20.01;673.54
490;https://inversionesrpz.com/355/dr-carlos-tovar.jpg;DR. CARLOS TOVAR;;Inicio;656.53;Bs.656,53;999999999;0;;20.01;673.54
485;https://inversionesrpz.com/359/dr-abelardo-j-bachour-d.jpg;Dr Abelardo J. Bachour D.;;Inicio;656.53;Bs.656,53;999999998;0;;20.01;673.54
479;https://inversionesrpz.com/345/pulpa-de-cerdo.jpg;pulpa de cochino 1kg.;;Inicio;219.83;Bs.219,83;487;0;;6.70;225.53
451;https://inversionesrpz.com/309/pescado-carite-en-rueda-1kg.jpg;Pescado Carite en rueda 1Kg;;Inicio;0;Bs.0,00;5000;0;;0.00;0.00
450;https://inversionesrpz.com/308/pargo-entero-1kg.jpg;Pescado Pargo entero 1Kg;;Inicio;0;Bs.0,00;5000;0;;0.00;0.00
444;https://inversionesrpz.com/261/jamon-endiablado-plumrose-110gr.jpg;Jamon Endiablado Plumrose 110gr;AE0001;Inicio;62.67;Bs.62,67;1000;0;;1.91;64.29
443;https://inversionesrpz.com/260/jamon-endiablado-plumrose-60gr.jpg;Jamon Endiablado Plumrose 60gr;AE0002;Inicio;39.37;Bs.39,37;1000;0;;1.20;40.39
442;https://inversionesrpz.com/259/crema-de-arroz-santoni-400gr.jpg;Crema de Arroz Santoni 400gr;AC0001;Inicio;0;Bs.0,00;1000;0;;0.00;0.00
441;https://inversionesrpz.com/258/crema-de-arroz-primor-pote-900gr.jpg;Crema De Arroz Primor Pote 900gr;AC0002;Inicio;0;Bs.0,00;1000;0;;0.00;0.00
440;https://inversionesrpz.com/257/crema-de-arroz-primor-pote-450gr.jpg;Crema De Arroz Primor Pote 450gr;AC0003;Inicio;55.78;Bs.55,78;1000;0;;1.70;57.23
438;https://inversionesrpz.com/256/compota-natulac-186gr.jpg;Compota Natulac 186gr;AV0001;Inicio;34.45;Bs.34,45;1000;0;;1.05;35.34
437;https://inversionesrpz.com/255/caraotas-venela-blancas-500gr.jpg;Caraotas Blancas Venela  500gr;AG0001;Inicio;0;Bs.0,00;1000;0;;1.77;59.52
